"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2016",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
Tracy               ,"87,829","87,513",316,"26,223","21,384",877,"1,592","1,902",468,"24,842",5.3%,3.52
,,,,,,,,,,, ,
Balance Of County    ,"150,870","145,263","5,607","49,862","41,243","1,326","1,030",982,"5,281","45,889",8.0%,3.17
Incorporated,"585,157","575,632","9,525","189,543","133,168","10,952","13,872","28,180","3,371","176,602",6.8%,3.26
 ,,,,,,,,,,, ,
County Total,"736,027","720,895","15,132","239,405","174,411","12,278","14,902","29,162","8,652","222,491",7.1%,3.24
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Luis Obispo County,,,,,,,,,,, ,
Arroyo Grande       ,"17,892","17,718",174,"7,755","5,269",643,362,886,595,"7,313",5.7%,2.42
Atascadero          ,"30,189","28,732","1,457","12,016","8,488",537,"1,070","1,387",534,"11,371",5.4%,2.53
El Paso De Robles   ,"30,961","30,692",269,"11,704","8,336",813,935,"1,326",294,"11,164",4.6%,2.75
Grover Beach        ,"13,654","13,465",189,"5,789","3,417",736,879,549,208,"5,279",8.8%,2.55
Morro Bay           ,"10,504","10,343",161,"6,414","4,585",369,446,528,486,"4,947",22.9%,2.09
Pismo Beach         ,"8,187","8,174",13,"5,713","3,318",618,520,497,760,"4,080",28.6%,2.00
San Luis Obispo     ,"46,363","45,181","1,182","20,951","9,693","1,383","2,678","5,714","1,483","19,632",6.3%,2.30
,,,,,,,,,,, ,
Balance Of County    ,"120,655","108,218","12,437","49,966","38,589","1,487","2,245","1,267","6,378","41,663",16.6%,2.60
Incorporated,"157,750","154,305","3,445","70,342","43,106","5,099","6,890","10,887","4,360","63,786",9.3%,2.42
 ,,,,,,,,,,, ,
County Total,"278,405","262,523","15,882","120,308","81,695","6,586","9,135","12,154","10,738","105,449",12.4%,2.49
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Mateo County,,,,,,,,,,, ,
Atherton            ,"6,990","6,605",385,"2,453","2,437",16,0,0,0,"2,252",8.2%,2.93
Belmont             ,"27,154","26,640",514,"11,067","6,430",660,333,"3,644",0,"10,636",3.9%,2.51
Brisbane            ,"4,655","4,639",16,"2,016","1,182",235,207,326,66,"1,894",6.1%,2.45
Burlingame          ,"30,312","29,863",449,"13,114","6,298",575,879,"5,349",13,"12,443",5.1%,2.40
Colma               ,"1,504","1,497",7,446,205,113,88,30,10,432,3.1%,3.47
Daly City           ,"108,236","107,555",681,"33,029","15,861","4,782","3,756","8,083",547,"31,830",3.6%,3.38
East Palo Alto      ,"30,278","30,124",154,"7,836","4,230",326,267,"2,865",148,"7,137",8.9%,4.22
Foster City         ,"32,763","32,654",109,"12,766","4,663","2,636",907,"4,560",0,"12,314",3.5%,2.65
Half Moon Bay       ,"12,391","12,373",18,"4,649","2,790",562,270,494,533,"4,341",6.6%,2.85
Hillsborough        ,"11,565","11,565",0,"4,009","3,887",110,12,0,0,"3,771",5.9%,3.07
Menlo Park          ,"33,594","32,803",791,"13,185","7,283","1,087","1,721","3,066",28,"12,416",5.8%,2.64
Millbrae            ,"23,066","22,751",315,"8,619","5,379",292,285,"2,630",33,"8,196",4.9%,2.78
Pacifica            ,"38,850","38,668",182,"14,547","10,354",948,806,"2,341",98,"13,934",4.2%,2.78
Portola Valley      ,"4,652","4,608",44,"1,914","1,552",0,38,324,0,"1,784",6.8%,2.58
Redwood City        ,"84,161","82,838","1,323","30,651","13,995","4,073","1,878","10,073",632,"29,413",4.0%,2.82
San Bruno           ,"45,238","44,840",398,"16,051","9,028",610,877,"5,536",0,"15,477",3.6%,2.90
San Carlos          ,"29,773","29,682",91,"12,052","8,333",537,561,"2,589",32,"11,548",4.2%,2.57
San Mateo           ,"103,424","102,108","1,316","40,804","18,327","4,113","2,496","15,812",56,"38,919",4.6%,2.62
South San Francisco ,"66,981","66,402",579,"21,987","13,114","2,802","1,336","4,404",331,"21,079",4.1%,3.15
Woodside            ,"5,605","5,605",0,"2,193","2,092",60,26,0,15,"2,004",8.6%,2.80
,,,,,,,,,,, ,
Balance Of County    ,"65,457","63,625","1,832","22,648","18,507",799,784,"1,934",624,"21,196",6.4%,3.00
Incorporated,"701,192","693,820","7,372","253,388","137,440","24,537","16,743","72,126","2,542","241,820",4.6%,2.87
 ,,,,,,,,,,, ,
County Total,"766,649","757,445","9,204","276,036","155,947","25,336","17,527","74,060","3,166","263,016",4.7%,2.88
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Santa Barbara County,,,,,,,,,,, ,
Buellton            ,"4,968","4,968",0,"1,863","1,243",89,13,114,404,"1,770",5.0%,2.81
Carpinteria         ,"13,781","13,762",19,"5,602","2,194",424,670,"1,466",848,"4,911",12.3%,2.80
Goleta,"31,537","31,336",201,"11,844","5,419","1,058","1,052","3,694",621,"11,239",5.1%,2.79
Guadalupe           ,"7,328","7,328",0,"1,900","1,307",186,215,183,9,"1,828",3.8%,4.01
Lompoc              ,"43,886","40,719","3,167","14,676","7,948",763,"2,118","2,867",980,"13,693",6.7%,2.97
Santa Barbara       ,"92,902","91,275","1,627","38,488","18,060","3,408","5,568","11,062",390,"36,406",5.4%,2.51
Santa Maria         ,"105,348","104,341","1,007","28,993","18,129","1,355","2,522","5,438","1,549","27,819",4.0%,3.75
Solvang             ,"5,616","5,561",55,"2,601","1,520",154,262,529,136,"2,274",12.6%,2.45
,,,,,,,,,,, ,
Balance Of County    ,"141,861","129,069","12,792","50,553","35,651","3,007","2,657","6,153","3,085","46,475",8.1%,2.78
Incorporated,"305,366","299,290","6,076","105,967","55,820","7,437","12,420","25,353","4,937","99,940",5.7%,2.99
 ,,,,,,,,,,, ,
County Total,"447,227","428,359","18,868","156,520","91,471","10,444","15,077","31,506","8,022","146,415",6.5%,2.93
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Santa Clara County,,,,,,,,,,, ,
Campbell            ,"42,500","42,299",201,"17,793","8,129","2,252","2,022","5,074",316,"16,838",5.4%,2.51
Cupertino           ,"60,103","59,766",337,"21,052","12,060","2,564","2,006","4,422",0,"20,063",4.7%,2.98
Gilroy              ,"54,506","53,700",806,"15,935","11,024",887,"1,709","1,998",317,"15,284",4.1%,3.51
Los Altos           ,"31,069","30,842",227,"11,606","9,390",561,245,"1,410",0,"11,112",4.3%,2.78
Los Altos Hills     ,"8,453","8,400",53,"3,093","3,039",13,0,14,27,"2,912",5.9%,2.89
Los Gatos           ,"30,864","30,514",350,"13,251","7,749","1,779","1,221","2,438",64,"12,505",5.6%,2.44
Milpitas            ,"74,492","71,987","2,505","21,450","11,970","3,363","1,468","4,230",419,"20,772",3.2%,3.47
Monte Sereno        ,"3,555","3,555",0,"1,305","1,263",23,0,19,0,"1,242",4.8%,2.86
Morgan Hill         ,"43,592","43,206",386,"14,214","8,637","2,369",798,"1,182","1,228","13,694",3.7%,3.16
Mountain View       ,"79,760","79,490",270,"35,239","10,590","4,218","3,109","16,225","1,097","33,184",5.8%,2.40
Palo Alto           ,"68,832","68,312",520,"28,919","16,469","1,231","1,881","9,239",99,"27,339",5.5%,2.50
San Jose            ,"1,032,423","1,018,743","13,680","329,824","176,583","32,283","23,207","86,792","10,959","317,377",3.8%,3.21
Santa Clara         ,"124,807","121,611","3,196","46,458","19,377","4,350","4,995","17,690",46,"44,531",4.1%,2.73
Saratoga            ,"31,308","31,109",199,"11,213","9,422",768,371,652,0,"10,828",3.4%,2.87
Sunnyvale           ,"150,945","150,096",849,"58,031","21,676","5,282","4,982","22,191","3,900","55,484",4.4%,2.71
,,,,,,,,,,, ,
Balance Of County    ,"88,097","81,219","6,878","27,977","21,598","1,071","1,115","3,620",573,"26,407",5.6%,3.08
Incorporated,"1,837,209","1,813,630","23,579","629,383","327,378","61,943","48,014","173,576","18,472","603,165",4.2%,3.01
 ,,,,,,,,,,, ,
County Total,"1,925,306","1,894,849","30,457","657,360","348,976","63,014","49,129","177,196","19,045","629,572",4.2%,3.01
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Santa Cruz County,,,,,,,,,,, ,
Capitola            ,"10,347","10,199",148,"5,539","1,651",604,"1,393","1,118",773,"4,687",15.4%,2.18
Santa Cruz          ,"65,258","54,208","11,050","23,635","13,103","2,569","2,598","5,016",349,"22,059",6.7%,2.46
Scotts Valley       ,"12,189","11,917",272,"4,689","2,576",574,393,381,765,"4,527",3.5%,2.63
Watsonville         ,"53,327","52,799",528,"14,131","7,374","1,299","1,653","2,675","1,130","13,684",3.2%,3.86
,,,,,,,,,,, ,
Balance Of County    ,"134,841","133,003","1,838","57,386","41,746","4,424","3,621","3,692","3,903","50,546",11.9%,2.63
Incorporated,"141,121","129,123","11,998","47,994","24,704","5,046","6,037","9,190","3,017","44,957",6.3%,2.87
 ,,,,,,,,,,, ,
County Total,"275,962","262,126","13,836","105,380","66,450","9,470","9,658","12,882","6,920","95,503",9.4%,2.74
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Shasta County,,,,,,,,,,, ,
Anderson            ,"10,255","10,243",12,"4,412","2,655",215,548,780,214,"4,144",6.1%,2.47
Redding             ,"91,277","89,011","2,266","39,423","25,174","1,697","4,656","5,384","2,512","37,258",5.5%,2.39
Shasta Lake         ,"10,048","10,031",17,"4,197","3,194",115,157,164,567,"3,967",5.5%,2.53
,,,,,,,,,,, ,
Balance Of County    ,"66,623","66,063",560,"30,347","23,166",712,450,485,"5,534","26,556",12.5%,2.49
Incorporated,"111,580","109,285","2,295","48,032","31,023","2,027","5,361","6,328","3,293","45,369",5.5%,2.41
 ,,,,,,,,,,, ,
County Total,"178,203","175,348","2,855","78,379","54,189","2,739","5,811","6,813","8,827","71,925",8.2%,2.44
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Sierra County,,,,,,,,,,, ,
Loyalton            ,763,732,31,370,348,3,0,0,19,296,20.0%,2.47
,,,,,,,,,,, ,
Balance Of County    ,"2,443","2,441",2,"1,969","1,762",21,33,73,80,"1,130",42.6%,2.16
Incorporated,763,732,31,370,348,3,0,0,19,296,20.0%,2.47
 ,,,,,,,,,,, ,
County Total,"3,206","3,173",33,"2,339","2,110",24,33,73,99,"1,426",39.0%,2.23
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Siskiyou County,,,,,,,,,,, ,
Dorris              ,921,921,0,415,320,2,16,0,77,363,12.5%,2.54
Dunsmuir            ,"1,606","1,606",0,"1,107",697,29,117,251,13,757,31.6%,2.12
Etna                ,730,724,6,361,287,0,9,13,52,326,9.7%,2.22
Fort Jones          ,703,703,0,347,242,11,34,2,58,308,11.2%,2.28
Montague            ,"1,425","1,407",18,632,404,7,58,63,100,582,7.9%,2.42
Mount Shasta        ,"3,310","3,274",36,"1,894","1,195",37,400,233,29,"1,655",12.6%,1.98
Tulelake            ,"1,006","1,006",0,438,299,2,42,18,77,353,19.4%,2.85
Weed                ,"2,715","2,552",163,"1,148",816,71,103,119,39,"1,044",9.1%,2.44
Yreka               ,"7,681","7,535",146,"3,673","2,237",159,449,656,172,"3,381",7.9%,2.23
,,,,,,,,,,, ,
Balance Of County    ,"24,617","24,417",200,"14,011","10,154",254,295,363,"2,945","11,013",21.4%,2.22
Incorporated,"20,097","19,728",369,"10,015","6,497",318,"1,228","1,355",617,"8,769",12.4%,2.25
 ,,,,,,,,,,, ,
County Total,"44,714","44,145",569,"24,026","16,651",572,"1,523","1,718","3,562","19,782",17.7%,2.23
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Solano County,,,,,,,,,,, ,
Benicia             ,"27,589","27,563",26,"11,331","7,473",847,"1,162","1,611",238,"10,720",5.4%,2.57
Dixon               ,"19,262","19,261",1,"6,328","4,869",269,414,728,48,"6,035",4.6%,3.19
Fairfield           ,"112,820","110,380","2,440","38,682","27,163","2,419","2,015","6,086",999,"36,403",5.9%,3.03
Rio Vista           ,"8,492","8,489",3,"4,383","3,998",40,25,141,179,"3,912",10.7%,2.17
Suisun City         ,"29,065","29,021",44,"9,493","7,900",249,382,778,184,"9,051",4.7%,3.21
Vacaville           ,"96,082","89,504","6,578","34,006","24,314","1,103","2,257","5,196","1,136","32,366",4.8%,2.77
Vallejo             ,"118,635","116,678","1,957","44,656","29,962","1,342","4,853","7,141","1,358","40,651",9.0%,2.87
,,,,,,,,,,, ,
Balance Of County    ,"19,401","19,206",195,"7,496","6,523",314,156,56,447,"6,789",9.4%,2.83
Incorporated,"411,945","400,896","11,049","148,879","105,679","6,269","11,108","21,681","4,142","139,138",6.5%,2.88
 ,,,,,,,,,,, ,
County Total,"431,346","420,102","11,244","156,375","112,202","6,583","11,264","21,737","4,589","145,927",6.7%,2.88
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Sonoma County,,,,,,,,,,, ,
Cloverdale          ,"8,918","8,830",88,"3,427","2,598",279,91,316,143,"3,214",6.2%,2.75
Cotati              ,"7,486","7,476",10,"3,146","1,444",575,446,556,125,"2,993",4.9%,2.50
Healdsburg          ,"11,918","11,863",55,"4,928","3,675",205,492,486,70,"4,524",8.2%,2.62
Petaluma            ,"60,757","60,033",724,"23,206","16,592","1,699","1,444","2,704",767,"22,246",4.1%,2.70
Rohnert Park        ,"41,969","41,926",43,"16,576","7,562","1,490","1,291","4,683","1,550","15,932",3.9%,2.63
Santa Rosa          ,"176,005","172,510","3,495","68,803","41,125","5,919","6,042","12,651","3,066","65,082",5.4%,2.65
Sebastopol          ,"7,658","7,529",129,"3,492","2,210",330,383,500,69,"3,317",5.0%,2.27
Sonoma              ,"11,157","10,920",237,"5,645","3,141",575,541,904,484,"5,069",10.2%,2.15
Windsor             ,"27,777","27,726",51,"9,642","7,587",561,175,684,635,"9,069",5.9%,3.06
,,,,,,,,,,, ,
Balance Of County    ,"149,488","143,921","5,567","68,541","56,023","2,846","2,622","2,518","4,532","56,989",16.9%,2.53
Incorporated,"353,645","348,813","4,832","138,865","85,934","11,633","10,905","23,484","6,909","131,446",5.3%,2.65
 ,,,,,,,,,,, ,
County Total,"503,133","492,734","10,399","207,406","141,957","14,479","13,527","26,002","11,441","188,435",9.1%,2.61
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Stanislaus County,,,,,,,,,,, ,
Ceres               ,"47,815","47,462",353,"13,799","10,473",716,669,"1,185",756,"12,876",6.7%,3.69
Hughson             ,"7,442","7,423",19,"2,381","2,027",18,42,233,61,"2,235",6.1%,3.32
Modesto             ,"210,758","207,822","2,936","75,715","52,655","3,236","7,862","9,832","2,130","69,793",7.8%,2.98
Newman              ,"10,939","10,873",66,"3,469","2,838",142,163,326,0,"3,098",10.7%,3.51
Oakdale             ,"22,449","22,262",187,"8,112","6,278",452,452,609,321,"7,628",6.0%,2.92
Patterson           ,"22,337","22,334",3,"6,413","5,645",178,156,301,133,"5,934",7.5%,3.76
Riverbank           ,"24,074","23,906",168,"7,172","6,158",250,160,308,296,"6,730",6.2%,3.55
Turlock             ,"72,929","71,593","1,336","24,838","17,216","1,563","1,651","3,783",625,"23,319",6.1%,3.07
Waterford           ,"8,858","8,835",23,"2,665","2,118",61,111,363,12,"2,480",6.9%,3.56
,,,,,,,,,,, ,
Balance Of County    ,"113,952","112,604","1,348","36,213","29,515",871,"1,134",430,"4,263","33,441",7.7%,3.37
Incorporated,"427,601","422,510","5,091","144,564","105,408","6,616","11,266","16,940","4,334","134,093",7.2%,3.15
 ,,,,,,,,,,, ,
County Total,"541,553","535,114","6,439","180,777","134,923","7,487","12,400","17,370","8,597","167,534",7.3%,3.19
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Sutter County,,,,,,,,,,, ,
Live Oak            ,"8,512","8,396",116,"2,607","1,934",241,132,193,107,"2,442",6.3%,3.44
Yuba City           ,"67,128","66,542",586,"23,635","15,586",928,"1,927","4,240",954,"22,165",6.2%,3.00
,,,,,,,,,,, ,
Balance Of County    ,"20,964","20,904",60,"7,963","6,916",275,158,154,460,"7,354",7.6%,2.84
Incorporated,"75,640","74,938",702,"26,242","17,520","1,169","2,059","4,433","1,061","24,607",6.2%,3.05
 ,,,,,,,,,,, ,
County Total,"96,604","95,842",762,"34,205","24,436","1,444","2,217","4,587","1,521","31,961",6.6%,3.00
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Tehama County,,,,,,,,,,, ,
Corning             ,"7,593","7,568",25,"2,863","1,803",45,298,598,119,"2,627",8.2%,2.88
Red Bluff           ,"14,208","13,748",460,"5,942","3,628",110,814,921,469,"5,464",8.0%,2.52
Tehama              ,419,419,0,196,150,13,12,11,10,167,14.8%,2.51
,,,,,,,,,,, ,
Balance Of County    ,"41,792","41,413",379,"18,447","12,066",280,260,204,"5,637","15,908",13.8%,2.60
Incorporated,"22,220","21,735",485,"9,001","5,581",168,"1,124","1,530",598,"8,258",8.3%,2.63
 ,,,,,,,,,,, ,
County Total,"64,012","63,148",864,"27,448","17,647",448,"1,384","1,734","6,235","24,166",12.0%,2.61
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Trinity County,,,,,,,,,,, ,
County Total,"13,661","13,274",387,"8,765","5,827",117,347,269,"2,205","6,029",31.2%,2.20
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Tulare County,,,,,,,,,,, ,
Dinuba              ,"24,528","24,366",162,"6,549","4,833",135,620,664,297,"6,298",3.8%,3.87
Exeter              ,"10,887","10,814",73,"3,646","2,820",212,289,162,163,"3,504",3.9%,3.09
Farmersville        ,"11,200","11,200",0,"2,781","2,228",110,204,159,80,"2,702",2.8%,4.15
Lindsay             ,"12,895","12,799",96,"3,431","2,321",150,279,538,143,"3,252",5.2%,3.94
Porterville         ,"59,547","58,589",958,"17,934","12,058","1,213","1,946","1,645","1,072","17,011",5.1%,3.44
Tulare              ,"63,061","62,783",278,"19,751","15,507",424,"1,856","1,352",612,"18,556",6.1%,3.38
Visalia             ,"132,563","131,188","1,375","46,253","35,059","1,474","5,082","3,034","1,604","43,356",6.3%,3.03
Woodlake            ,"7,735","7,735",0,"2,167","1,449",156,139,365,58,"2,056",5.1%,3.76
,,,,,,,,,,, ,
Balance Of County    ,"144,594","142,726","1,868","44,437","34,911",51,"1,716","1,187","6,572","38,890",12.5%,3.67
Incorporated,"322,416","319,474","2,942","102,512","76,275","3,874","10,415","7,919","4,029","96,735",5.6%,3.30
 ,,,,,,,,,,, ,
County Total,"467,010","462,200","4,810","146,949","111,186","3,925","12,131","9,106","10,601","135,625",7.7%,3.41
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Tuolumne County,,,,,,,,,,, ,
Sonora              ,"4,911","4,608",303,"2,462","1,409",87,356,588,22,"2,190",11.0%,2.10
,,,,,,,,,,, ,
Balance Of County    ,"50,024","46,761","3,263","28,970","23,634",207,876,840,"3,413","20,108",30.6%,2.33
Incorporated,"4,911","4,608",303,"2,462","1,409",87,356,588,22,"2,190",11.0%,2.10
 ,,,,,,,,,,, ,
County Total,"54,935","51,369","3,566","31,432","25,043",294,"1,232","1,428","3,435","22,298",29.1%,2.30
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Ventura County,,,,,,,,,,, ,
Camarillo           ,"68,026","67,553",473,"26,461","15,865","4,516","1,039","4,021","1,020","25,177",4.9%,2.68
Fillmore            ,"15,580","15,414",166,"4,506","3,299",232,350,239,386,"4,249",5.7%,3.63
Moorpark            ,"36,376","36,376",0,"11,168","8,128","1,515",205,"1,177",143,"10,904",2.4%,3.34
Ojai                ,"7,703","7,523",180,"3,415","2,350",320,430,315,0,"3,163",7.4%,2.38
Oxnard              ,"208,603","207,169","1,434","54,735","30,354","5,771","3,833","12,162","2,615","51,679",5.6%,4.01
Port Hueneme        ,"23,185","22,482",703,"8,276","2,690","2,371",953,"2,253",9,"7,556",8.7%,2.98
San Buenaventura    ,"109,946","107,967","1,979","43,826","24,568","4,819","3,341","8,725","2,373","41,340",5.7%,2.61
Santa Paula         ,"31,004","30,871",133,"8,998","5,228",716,889,"1,325",840,"8,689",3.4%,3.55
Simi Valley         ,"127,069","126,409",660,"42,742","31,131","3,327","1,983","5,540",761,"41,514",2.9%,3.05
Thousand Oaks       ,"129,949","128,207","1,742","47,925","32,461","5,397","1,903","6,961","1,203","46,289",3.4%,2.77
,,,,,,,,,,, ,
Balance Of County    ,"97,445","93,745","3,700","35,028","28,067","2,275",960,"1,726","2,000","31,878",9.0%,2.94
Incorporated,"757,441","749,971","7,470","252,052","156,074","28,984","14,926","42,718","9,350","240,560",4.6%,3.12
 ,,,,,,,,,,, ,
County Total,"854,886","843,716","11,170","287,080","184,141","31,259","15,886","44,444","11,350","272,438",5.1%,3.10
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Yolo County,,,,,,,,,,, ,
Davis               ,"67,446","65,979","1,467","26,111","12,342","2,293","3,167","7,822",487,"25,278",3.2%,2.61
West Sacramento     ,"53,028","52,690",338,"19,715","12,217","1,015","1,265","3,710","1,508","18,555",5.9%,2.84
Winters             ,"7,010","7,004",6,"2,377","1,721",109,183,276,88,"2,263",4.8%,3.10
Woodland            ,"58,936","58,064",872,"20,277","12,935","1,135","1,673","3,997",537,"19,523",3.7%,2.97
,,,,,,,,,,, ,
Balance Of County    ,"29,354","20,208","9,146","7,389","5,869",201,275,124,920,"7,003",5.2%,2.89
Incorporated,"186,420","183,737","2,683","68,480","39,215","4,552","6,288","15,805","2,620","65,619",4.2%,2.80
 ,,,,,,,,,,, ,
County Total,"215,774","203,945","11,829","75,869","45,084","4,753","6,563","15,929","3,540","72,622",4.3%,2.81
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Yuba County,,,,,,,,,,, ,
Marysville          ,"12,292","11,633",659,"5,210","3,163",110,901,981,55,"4,811",7.7%,2.42
Wheatland           ,"3,602","3,602",0,"1,339",968,25,248,63,35,"1,284",4.1%,2.81
,,,,,,,,,,, ,
Balance Of County    ,"58,968","58,346",622,"21,540","15,462",410,"1,500","1,299","2,869","19,334",10.2%,3.02
Incorporated,"15,894","15,235",659,"6,549","4,131",135,"1,149","1,044",90,"6,095",6.9%,2.50
 ,,,,,,,,,,, ,
County Total,"74,862","73,581","1,281","28,089","19,593",545,"2,649","2,343","2,959","25,429",9.5%,2.89
,,,,,,,,,,, ,
,,,,,,,,,,, ,
California,,,,,,,,,,, ,
Incorporated Total,"32,682,019","32,015,705","666,314","11,523,268","6,261,062","880,963","1,013,482","3,040,683","327,078","10,764,550",6.6%,2.97
Balance Of State Total,"6,532,784","6,364,137","168,647","2,459,583","1,833,705","96,808","110,118","185,175","233,777","2,147,347",12.7%,2.96
 ,,,,,,,,,,, ,
State Total,"39,214,803","38,379,842","834,961","13,982,851","8,094,767","977,771","1,123,600","3,225,858","560,855","12,911,897",7.7%,2.97
