"E-8 City/County/State Population and Housing Estimates, 4/1/1990 to 4/1/2000",,,,,,,,,,,
,,------------POPULATION------------,,,---------------------------------- HOUSING UNITS ----------------------------------,,,,,,PERSONS PER HOUSEHOLD
,1/1/1998,"98,695","97,180","1,515","47,109","39,193","4,344","3,572","35,885",23.83%,2.708
,1/1/1999,"99,133","97,587","1,546","47,565","39,611","4,438","3,516","36,443",23.38%,2.678
,1/1/2000,"100,716","99,139","1,577","48,235","40,215","4,559","3,461","37,146",22.99%,2.669
,4/1/2000,"100,701","99,116","1,585","48,433","40,393","4,582","3,458","37,334",22.92%,2.655
,,,,,,,,,,,
Placer,4/1/1990,"172,796","170,452","2,344","77,879","61,482","11,455","4,942","64,101",17.69%,2.659
County Total,1/1/1991,"179,242","176,903","2,339","80,757","63,507","12,303","4,947","66,881",17.18%,2.645
,1/1/1992,"187,203","184,788","2,415","83,399","65,354","13,065","4,980","69,487",16.68%,2.659
,1/1/1993,"194,001","191,536","2,465","85,492","66,748","13,770","4,974","71,610",16.24%,2.675
,1/1/1994,"199,993","197,489","2,504","87,226","68,376","13,888","4,962","73,418",15.83%,2.690
,1/1/1995,"207,159","204,616","2,543","89,470","70,511","14,034","4,925","75,695",15.40%,2.703
,1/1/1996,"215,019","212,437","2,582","91,818","72,621","14,337","4,860","78,100",14.94%,2.720
,1/1/1997,"222,286","219,664","2,622","94,399","75,051","14,530","4,818","80,722",14.49%,2.721
,1/1/1998,"229,686","227,024","2,662","97,089","77,650","14,671","4,768","83,426",14.07%,2.721
,1/1/1999,"238,293","235,452","2,841","101,078","80,859","15,496","4,723","87,368",13.56%,2.695
,1/1/2000,"246,712","243,832","2,880","106,155","84,550","16,934","4,671","92,279",13.07%,2.642
,4/1/2000,"248,399","245,511","2,888","107,302","85,601","17,032","4,669","93,382",12.97%,2.629
,,,,,,,,,,,
Plumas,4/1/1990,"2,193","2,184",9,"1,002",735,203,64,903,9.88%,2.419
Portola,1/1/1991,"2,199","2,189",10,"1,004",740,201,63,905,9.86%,2.419
,1/1/1992,"2,227","2,216",11,"1,015",749,205,61,912,10.15%,2.430
,1/1/1993,"2,255","2,243",12,"1,013",751,203,59,910,10.17%,2.465
,1/1/1994,"2,235","2,221",14,"1,008",750,201,57,905,10.22%,2.454
,1/1/1995,"2,252","2,237",15,"1,007",760,192,55,902,10.43%,2.480
,1/1/1996,"2,239","2,223",16,"1,007",762,190,55,902,10.43%,2.465
,1/1/1997,"2,249","2,232",17,"1,009",767,188,54,902,10.60%,2.475
,1/1/1998,"2,248","2,230",18,"1,010",770,186,54,903,10.59%,2.470
,1/1/1999,"2,224","2,204",20,"1,008",772,184,52,900,10.71%,2.449
,1/1/2000,"2,223","2,202",21,"1,008",773,183,52,899,10.81%,2.449
,4/1/2000,"2,227","2,206",21,"1,008",774,182,52,899,10.81%,2.454
,,,,,,,,,,,
Plumas,4/1/1990,"2,193","2,184",9,"1,002",735,203,64,903,9.88%,2.419
Incorporated,1/1/1991,"2,199","2,189",10,"1,004",740,201,63,905,9.86%,2.419
,1/1/1992,"2,227","2,216",11,"1,015",749,205,61,912,10.15%,2.430
,1/1/1993,"2,255","2,243",12,"1,013",751,203,59,910,10.17%,2.465
,1/1/1994,"2,235","2,221",14,"1,008",750,201,57,905,10.22%,2.454
,1/1/1995,"2,252","2,237",15,"1,007",760,192,55,902,10.43%,2.480
,1/1/1996,"2,239","2,223",16,"1,007",762,190,55,902,10.43%,2.465
,1/1/1997,"2,249","2,232",17,"1,009",767,188,54,902,10.60%,2.475
,1/1/1998,"2,248","2,230",18,"1,010",770,186,54,903,10.59%,2.470
,1/1/1999,"2,224","2,204",20,"1,008",772,184,52,900,10.71%,2.449
,1/1/2000,"2,223","2,202",21,"1,008",773,183,52,899,10.81%,2.449
,4/1/2000,"2,227","2,206",21,"1,008",774,182,52,899,10.81%,2.454
,,,,,,,,,,,
Plumas,4/1/1990,"17,546","17,423",123,"10,940","8,309",883,"1,748","7,222",33.99%,2.412
Balance of County,1/1/1991,"17,774","17,648",126,"11,075","8,443",860,"1,772","7,306",34.03%,2.416
,1/1/1992,"18,237","18,106",131,"11,344","8,680",848,"1,816","7,476",34.10%,2.422
,1/1/1993,"18,584","18,449",135,"11,632","8,944",817,"1,871","7,660",34.15%,2.408
,1/1/1994,"18,627","18,487",140,"11,844","9,154",785,"1,905","7,792",34.21%,2.373
,1/1/1995,"18,565","18,421",144,"11,961","9,298",754,"1,909","7,862",34.27%,2.343
,1/1/1996,"18,536","18,388",148,"12,068","9,432",722,"1,914","7,927",34.31%,2.320
,1/1/1997,"18,616","18,463",153,"12,134","9,525",691,"1,918","7,963",34.37%,2.319
,1/1/1998,"18,670","18,513",157,"12,227","9,622",660,"1,945","8,018",34.42%,2.309
,1/1/1999,"18,570","18,408",162,"12,324","9,718",629,"1,977","8,074",34.49%,2.280
,1/1/2000,"18,578","18,412",166,"12,370","9,792",597,"1,981","8,097",34.54%,2.274
,4/1/2000,"18,597","18,430",167,"12,378","9,807",589,"1,982","8,101",34.55%,2.275
,,,,,,,,,,,
Plumas,4/1/1990,"19,739","19,607",132,"11,942","9,044","1,086","1,812","8,125",31.96%,2.413
County Total,1/1/1991,"19,973","19,837",136,"12,079","9,183","1,061","1,835","8,211",32.02%,2.416
,1/1/1992,"20,464","20,322",142,"12,359","9,429","1,053","1,877","8,388",32.13%,2.423
,1/1/1993,"20,839","20,692",147,"12,645","9,695","1,020","1,930","8,570",32.23%,2.414
,1/1/1994,"20,862","20,708",154,"12,852","9,904",986,"1,962","8,697",32.33%,2.381
,1/1/1995,"20,817","20,658",159,"12,968","10,058",946,"1,964","8,764",32.42%,2.357
,1/1/1996,"20,775","20,611",164,"13,075","10,194",912,"1,969","8,829",32.47%,2.334
,1/1/1997,"20,865","20,695",170,"13,143","10,292",879,"1,972","8,865",32.55%,2.334
,1/1/1998,"20,918","20,743",175,"13,237","10,392",846,"1,999","8,921",32.61%,2.325
,1/1/1999,"20,794","20,612",182,"13,332","10,490",813,"2,029","8,974",32.69%,2.297
,1/1/2000,"20,801","20,614",187,"13,378","10,565",780,"2,033","8,996",32.76%,2.291
,4/1/2000,"20,824","20,636",188,"13,386","10,581",771,"2,034","9,000",32.77%,2.293
,,,,,,,,,,,
Riverside,4/1/1990,"20,572","20,218",354,"8,279","6,014","1,111","1,154","7,432",10.23%,2.720
Banning,1/1/1991,"21,855","21,503",352,"8,829","6,403","1,269","1,157","7,938",10.09%,2.709
,1/1/1992,"22,204","21,855",349,"8,922","6,529","1,232","1,161","8,037",9.92%,2.719
,1/1/1993,"22,367","22,021",346,"9,026","6,653","1,213","1,160","8,146",9.75%,2.703
,1/1/1994,"22,495","22,152",343,"9,123","6,760","1,203","1,160","8,250",9.57%,2.685
,1/1/1995,"22,456","22,116",340,"9,239","6,873","1,206","1,160","8,370",9.41%,2.642
,1/1/1996,"22,461","22,124",337,"9,281","6,946","1,176","1,159","8,424",9.23%,2.626
,1/1/1997,"22,741","22,407",334,"9,391","7,086","1,147","1,158","8,539",9.07%,2.624
,1/1/1998,"22,955","22,610",345,"9,478","7,213","1,107","1,158","8,634",8.90%,2.619
,1/1/1999,"23,200","22,858",342,"9,581","7,348","1,076","1,157","8,741",8.77%,2.615
,1/1/2000,"23,549","23,210",339,"9,738","7,544","1,038","1,156","8,899",8.62%,2.608
,4/1/2000,"23,562","23,224",338,"9,761","7,575","1,030","1,156","8,923",8.59%,2.603
,,,,,,,,,,,
Riverside,4/1/1990,"9,685","9,486",199,"3,718","2,330",993,395,"3,512",5.54%,2.701
Beaumont,1/1/1991,"9,996","9,787",209,"3,846","2,434","1,021",391,"3,622",5.82%,2.702
,1/1/1992,"10,272","10,081",191,"3,893","2,488","1,019",386,"3,652",6.19%,2.760
,1/1/1993,"10,360","10,173",187,"3,923","2,526","1,016",381,"3,667",6.53%,2.774
,1/1/1994,"10,640","10,458",182,"4,050","2,659","1,014",377,"3,772",6.86%,2.773
,1/1/1995,"10,596","10,418",178,"4,073","2,689","1,012",372,"3,781",7.17%,2.755
,1/1/1996,"10,673","10,499",174,"4,089","2,712","1,010",367,"3,781",7.53%,2.777
,1/1/1997,"10,815","10,646",169,"4,111","2,746","1,003",362,"3,787",7.88%,2.811
,1/1/1998,"10,953","10,788",165,"4,140","2,783","1,000",357,"3,802",8.16%,2.837
,1/1/1999,"11,215","11,055",160,"4,214","2,814","1,048",352,"3,857",8.47%,2.866
,1/1/2000,"11,371","11,215",156,"4,253","2,859","1,046",348,"3,880",8.77%,2.890
,4/1/2000,"11,384","11,229",155,"4,258","2,865","1,046",347,"3,881",8.85%,2.893
,,,,,,,,,,,
Riverside,4/1/1990,"8,448","8,289",159,"2,908","1,956",859,93,"2,745",5.61%,3.020
Blythe,1/1/1991,"8,439","8,285",154,"2,955","1,988",866,101,"2,766",6.40%,2.995
,1/1/1992,"11,722","8,435","3,287","3,033","2,057",863,113,"2,808",7.42%,3.004
,1/1/1993,"12,482","8,989","3,493","3,244","2,127",990,127,"2,975",8.29%,3.022
,1/1/1994,"12,427","8,913","3,514","3,312","2,188",986,138,"3,008",9.18%,2.963
,1/1/1995,"15,893","9,080","6,813","3,385","2,250",987,148,"3,046",10.01%,2.981
,1/1/1996,"17,646","9,760","7,886","3,800","2,449",993,358,"3,314",12.79%,2.945
,1/1/1997,"20,062","11,622","8,440","4,654","2,733","1,140",781,"3,991",14.25%,2.912
,1/1/1998,"20,067","11,623","8,444","4,704","2,761","1,141",802,"4,004",14.88%,2.903
,1/1/1999,"19,918","11,884","8,034","4,826","2,827","1,191",808,"4,083",15.40%,2.911
,1/1/2000,"20,235","11,841","8,394","4,838","2,851","1,182",805,"4,063",16.02%,2.914
,4/1/2000,"20,465","11,956","8,509","4,892","2,856","1,222",814,"4,104",16.11%,2.913
,,,,,,,,,,,
Riverside,4/1/1990,0,0,0,0,0,0,0,0,0.00%,0.000
Calimesa,1/1/1991,"6,764","6,751",13,"3,062","1,829",158,"1,075","2,885",5.78%,2.340
,1/1/1992,"6,924","6,905",19,"3,098","1,848",154,"1,096","2,909",6.10%,2.374
,1/1/1993,"6,987","6,961",26,"3,131","1,865",150,"1,116","2,932",6.36%,2.374
,1/1/1994,"7,008","6,976",32,"3,144","1,863",146,"1,135","2,937",6.58%,2.375
,1/1/1995,"6,930","6,892",38,"3,153","1,855",142,"1,156","2,937",6.85%,2.347
,1/1/1996,"6,926","6,881",45,"3,161","1,848",138,"1,175","2,936",7.12%,2.344
,1/1/1997,"6,988","6,937",51,"3,184","1,856",134,"1,194","2,949",7.38%,2.352
,1/1/1998,"7,036","6,978",58,"3,205","1,862",130,"1,213","2,960",7.64%,2.357
,1/1/1999,"7,077","7,013",64,"3,222","1,865",126,"1,231","2,968",7.88%,2.363
,1/1/2000,"7,084","7,014",70,"3,230","1,858",122,"1,250","2,967",8.14%,2.364
,4/1/2000,"7,139","7,043",96,"3,248","1,872",121,"1,255","2,982",8.19%,2.362
,,,,,,,,,,,
Riverside,4/1/1990,0,0,0,0,0,0,0,0,0.00%,0.000
Canyon Lake,1/1/1991,"10,292","10,287",5,"4,569","4,402",122,45,"3,737",18.21%,2.753
,1/1/1992,"10,434","10,428",6,"4,540","4,366",119,55,"3,749",17.42%,2.782
,1/1/1993,"10,357","10,350",7,"4,461","4,280",115,66,"3,721",16.59%,2.782
,1/1/1994,"10,246","10,238",8,"4,386","4,198",112,76,"3,696",15.73%,2.770
,1/1/1995,"10,094","10,084",10,"4,307","4,113",108,86,"3,667",14.86%,2.750
,1/1/1996,"9,989","9,978",11,"4,236","4,034",105,97,"3,645",13.95%,2.737
,1/1/1997,"9,927","9,915",12,"4,164","3,956",101,107,"3,622",13.02%,2.737
,1/1/1998,"9,890","9,877",13,"4,103","3,887",98,118,"3,609",12.04%,2.737
,1/1/1999,"9,929","9,915",14,"4,075","3,853",94,128,"3,622",11.12%,2.737
,1/1/2000,"9,978","9,962",16,"4,060","3,831",91,138,"3,645",10.22%,2.733
,4/1/2000,"9,952","9,936",16,"4,047","3,816",90,141,"3,643",9.98%,2.727
,,,,,,,,,,,
Riverside,4/1/1990,"30,085","30,033",52,"15,229","8,524","3,622","3,083","10,918",28.31%,2.751
Cathedral City,1/1/1991,"32,195","32,136",59,"15,853","8,951","3,867","3,035","11,455",27.74%,2.805
,1/1/1992,"34,245","34,177",68,"16,241","9,274","3,955","3,012","11,854",27.01%,2.883
,1/1/1993,"34,981","34,903",78,"16,478","9,544","3,946","2,988","12,144",26.30%,2.874
,1/1/1994,"35,754","35,667",87,"16,571","9,683","3,927","2,961","12,329",25.60%,2.893
,1/1/1995,"36,744","36,648",96,"16,760","9,920","3,903","2,937","12,585",24.91%,2.912
,1/1/1996,"37,675","37,570",105,"16,924","10,139","3,871","2,914","12,823",24.23%,2.930
,1/1/1997,"38,267","38,152",115,"16,841","10,379","3,783","2,679","12,883",23.50%,2.961
,1/1/1998,"38,907","38,783",124,"16,830","10,502","3,668","2,660","12,995",22.79%,2.984
,1/1/1999,"40,166","40,033",133,"17,095","10,838","3,621","2,636","13,305",22.17%,3.009
,1/1/2000,"42,240","42,097",143,"17,758","11,267","3,854","2,637","13,900",21.73%,3.029
,4/1/2000,"42,647","42,502",145,"17,893","11,411","3,846","2,636","14,027",21.61%,3.030
,,,,,,,,,,,
Riverside,4/1/1990,"16,896","16,885",11,"3,830","2,406","1,018",406,"3,713",3.05%,4.548
Coachella,1/1/1991,"17,393","17,380",13,"3,913","2,480","1,004",429,"3,788",3.19%,4.588
,1/1/1992,"18,007","17,990",17,"4,014","2,593",986,435,"3,880",3.34%,4.637
,1/1/1993,"19,017","18,997",20,"4,281","2,745","1,098",438,"4,133",3.46%,4.596
,1/1/1994,"19,291","19,268",23,"4,338","2,818","1,080",440,"4,183",3.57%,4.606
,1/1/1995,"19,819","19,792",27,"4,473","2,971","1,061",441,"4,306",3.73%,4.596
,1/1/1996,"20,551","20,521",30,"4,629","3,124","1,063",442,"4,451",3.85%,4.610
,1/1/1997,"20,899","20,866",33,"4,680","3,192","1,045",443,"4,494",3.97%,4.643
,1/1/1998,"21,164","21,127",37,"4,719","3,246","1,026",447,"4,526",4.09%,4.668
,1/1/1999,"21,503","21,463",40,"4,773","3,317","1,008",448,"4,571",4.23%,4.695
,1/1/2000,"22,180","22,137",43,"4,905","3,380","1,073",452,"4,694",4.30%,4.716
,4/1/2000,"22,724","22,680",44,"5,024","3,419","1,150",455,"4,807",4.32%,4.718
,,,,,,,,,,,
Riverside,4/1/1990,"75,943","75,532",411,"26,480","17,837","7,359","1,284","23,868",9.86%,3.165
Corona,1/1/1991,"80,913","80,485",428,"27,887","18,554","8,049","1,284","25,535",8.43%,3.152
,1/1/1992,"86,850","86,400",450,"29,339","18,814","9,241","1,284","27,189",7.33%,3.178
,1/1/1993,"90,985","90,513",472,"30,509","19,328","9,898","1,283","28,424",6.83%,3.184
,1/1/1994,"93,232","92,738",494,"30,906","19,748","9,875","1,283","28,965",6.28%,3.202
,1/1/1995,"96,099","95,583",516,"31,560","20,412","9,865","1,283","29,857",5.40%,3.201
,1/1/1996,"100,146","99,608",538,"32,672","21,511","9,878","1,283","31,054",4.95%,3.208
,1/1/1997,"105,743","105,183",560,"34,113","23,015","9,815","1,283","32,547",4.59%,3.232
,1/1/1998,"112,148","111,566",582,"35,862","24,827","9,753","1,282","34,325",4.29%,3.250
,1/1/1999,"118,493","117,889",604,"37,546","26,574","9,690","1,282","36,043",4.00%,3.271
,1/1/2000,"123,757","123,131",626,"38,916","27,807","9,827","1,282","37,471",3.71%,3.286
,4/1/2000,"124,966","124,334",632,"39,271","28,177","9,812","1,282","37,839",3.65%,3.286
,,,,,,,,,,,
Riverside,4/1/1990,"11,668","11,538",130,"5,494","3,035","2,165",294,"4,586",16.53%,2.516
Desert Hot Springs,1/1/1991,"12,405","12,272",133,"5,804","3,267","2,226",311,"4,844",16.54%,2.533
,1/1/1992,"13,360","13,222",138,"5,997","3,342","2,305",350,"5,004",16.56%,2.642
,1/1/1993,"14,206","14,064",142,"6,261","3,525","2,348",388,"5,223",16.58%,2.693
,1/1/1994,"14,554","14,408",146,"6,427","3,633","2,379",415,"5,360",16.60%,2.688
,1/1/1995,"15,093","14,942",151,"6,616","3,773","2,401",442,"5,517",16.61%,2.708
,1/1/1996,"15,478","15,323",155,"6,755","3,854","2,436",465,"5,631",16.64%,2.721
,1/1/1997,"15,904","15,744",160,"6,876","3,929","2,459",488,"5,731",16.65%,2.747
,1/1/1998,"16,163","15,999",164,"6,944","3,945","2,485",514,"5,786",16.68%,2.765
,1/1/1999,"16,405","16,237",168,"7,000","3,955","2,508",537,"5,832",16.69%,2.784
,1/1/2000,"16,544","16,371",173,"7,020","3,960","2,500",560,"5,847",16.71%,2.800
,4/1/2000,"16,582","16,408",174,"7,034","3,960","2,506",568,"5,859",16.70%,2.800
,,,,,,,,,,,
Riverside,4/1/1990,"36,094","35,517",577,"19,692","8,574","5,239","5,879","17,397",11.65%,2.042
Hemet,1/1/1991,"37,613","36,981",632,"20,649","9,417","5,284","5,948","18,186",11.93%,2.033
,1/1/1992,"49,027","47,992","1,035","25,033","11,712","6,552","6,769","22,081",11.79%,2.173
,1/1/1993,"50,044","48,935","1,109","25,265","11,997","6,568","6,700","22,213",12.08%,2.203
,1/1/1994,"50,319","49,125","1,194","25,354","12,168","6,513","6,673","22,217",12.37%,2.211
,1/1/1995,"50,165","48,889","1,276","25,150","12,257","6,457","6,436","21,962",12.68%,2.226
,1/1/1996,"50,251","48,901","1,350","25,118","12,367","6,402","6,349","21,859",12.97%,2.237
,1/1/1997,"50,682","49,259","1,423","25,141","12,471","6,347","6,323","21,805",13.27%,2.259
,1/1/1998,"54,269","52,756","1,513","27,549","12,660","6,416","8,473","23,727",13.87%,2.223
,1/1/1999,"57,871","56,284","1,587","29,065","13,262","6,481","9,322","25,049",13.82%,2.247
,1/1/2000,"58,666","57,005","1,661","29,325","13,524","6,565","9,236","25,203",14.06%,2.262
,4/1/2000,"58,812","57,133","1,679","29,401","13,606","6,551","9,244","25,252",14.11%,2.263
,,,,,,,,,,,
Riverside,4/1/1990,"2,647","2,647",0,"3,019","2,635",380,4,"1,258",58.33%,2.104
Indian Wells,1/1/1991,"2,722","2,722",0,"3,062","2,669",389,4,"1,304",57.41%,2.087
,1/1/1992,"2,892","2,892",0,"3,116","2,711",400,5,"1,366",56.16%,2.117
,1/1/1993,"2,985","2,985",0,"3,189","2,774",410,5,"1,434",55.03%,2.082
,1/1/1994,"3,086","3,086",0,"3,275","2,848",421,6,"1,507",53.98%,2.048
,1/1/1995,"3,092","3,092",0,"3,290","2,852",432,6,"1,551",52.86%,1.994
,1/1/1996,"3,146","3,146",0,"3,313","2,863",444,6,"1,600",51.71%,1.966
,1/1/1997,"3,290","3,290",0,"3,420","2,868",545,7,"1,682",50.82%,1.956
,1/1/1998,"3,349","3,349",0,"3,442","2,879",556,7,"1,729",49.77%,1.937
,1/1/1999,"3,515","3,515",0,"3,572","2,997",567,8,"1,822",48.99%,1.929
,1/1/2000,"3,667","3,667",0,"3,692","3,106",578,8,"1,910",48.27%,1.920
,4/1/2000,"3,816","3,816",0,"3,843","3,254",581,8,"1,982",48.43%,1.925
,,,,,,,,,,,
Riverside,4/1/1990,"36,850","36,055",795,"13,050","6,146","5,083","1,821","10,765",17.51%,3.349
Indio,1/1/1991,"38,217","37,392",825,"13,417","6,398","5,107","1,912","11,062",17.55%,3.380
,1/1/1992,"40,355","39,527",828,"13,971","6,657","5,128","2,186","11,511",17.61%,3.434
,1/1/1993,"41,420","40,589",831,"14,281","6,829","5,134","2,318","11,759",17.66%,3.452
,1/1/1994,"42,525","41,690",835,"14,687","7,117","5,142","2,428","12,086",17.71%,3.449
,1/1/1995,"42,952","42,114",838,"15,094","7,387","5,153","2,554","12,415",17.75%,3.392
,1/1/1996,"43,888","43,046",842,"15,391","7,571","5,160","2,660","12,652",17.80%,3.402
,1/1/1997,"45,200","44,355",845,"15,745","7,738","5,181","2,826","12,936",17.84%,3.429
,1/1/1998,"46,099","45,251",848,"15,996","7,877","5,187","2,932","13,135",17.89%,3.445
,1/1/1999,"47,301","46,449",852,"16,336","8,106","5,192","3,038","13,408",17.92%,3.464
,1/1/2000,"48,616","47,761",855,"16,733","8,392","5,197","3,144","13,727",17.96%,3.479
,4/1/2000,"49,116","48,260",856,"16,909","8,540","5,199","3,170","13,871",17.97%,3.479
,,,,,,,,,,,
Riverside,4/1/1990,"18,316","18,141",175,"6,993","4,367","1,826",799,"6,076",13.11%,2.986
Lake Elsinore,1/1/1991,"19,075","18,908",167,"7,042","4,412","1,834",796,"6,159",12.54%,3.070
,1/1/1992,"21,605","21,448",157,"7,644","4,950","1,898",796,"6,753",11.66%,3.176
,1/1/1993,"21,986","21,839",147,"7,694","5,034","1,872",788,"6,850",10.97%,3.188
,1/1/1994,"23,106","22,969",137,"8,033","5,396","1,851",786,"7,199",10.38%,3.191
,1/1/1995,"23,848","23,721",127,"8,197","5,585","1,831",781,"7,396",9.77%,3.207
,1/1/1996,"24,714","24,598",116,"8,438","5,856","1,810",772,"7,660",9.22%,3.211
,1/1/1997,"25,769","25,663",106,"8,703","6,144","1,790",769,"7,944",8.72%,3.230
,1/1/1998,"26,490","26,394",96,"8,860","6,330","1,769",761,"8,135",8.18%,3.244
,1/1/1999,"27,978","27,892",86,"9,272","6,660","1,860",752,"8,548",7.81%,3.263
,1/1/2000,"28,756","28,680",76,"9,455","6,868","1,839",748,"8,760",7.35%,3.274
,4/1/2000,"28,930","28,857",73,"9,506","6,921","1,834",751,"8,818",7.24%,3.273
,,,,,,,,,,,
Riverside,4/1/1990,"11,215","11,212",3,"6,426","5,853",326,247,"3,931",38.83%,2.852
La Quinta,1/1/1991,"12,788","12,782",6,"7,293","6,712",333,248,"4,553",37.57%,2.807
,1/1/1992,"14,403","14,394",9,"7,767","7,025",493,249,"4,965",36.08%,2.899
,1/1/1993,"15,084","15,071",13,"7,975","7,226",499,250,"5,214",34.62%,2.890
,1/1/1994,"15,913","15,896",17,"8,242","7,484",506,252,"5,499",33.28%,2.891
,1/1/1995,"16,588","16,567",21,"8,612","7,846",513,253,"5,847",32.11%,2.833
,1/1/1996,"17,402","17,378",24,"8,982","8,208",520,254,"6,196",31.02%,2.805
,1/1/1997,"18,573","18,545",28,"9,489","8,617",617,255,"6,628",30.15%,2.798
,1/1/1998,"19,534","19,502",32,"9,894","8,888",750,256,"6,997",29.28%,2.787
,1/1/1999,"20,827","20,792",35,"10,456","9,441",757,258,"7,464",28.62%,2.786
,1/1/2000,"23,088","23,049",39,"11,514","10,491",764,259,"8,232",28.50%,2.800
,4/1/2000,"23,694","23,654",40,"11,812","10,788",765,259,"8,445",28.50%,2.801
,,,,,,,,,,,
Riverside,4/1/1990,"118,779","118,733",46,"37,945","31,941","4,803","1,201","34,965",7.85%,3.396
Moreno Valley,1/1/1991,"125,788","125,693",95,"39,936","33,591","5,159","1,186","36,878",7.66%,3.408
,1/1/1992,"129,968","129,808",160,"40,258","33,861","5,222","1,175","37,280",7.40%,3.482
,1/1/1993,"131,548","131,323",225,"40,601","34,272","5,171","1,158","37,701",7.14%,3.483
,1/1/1994,"132,821","132,531",290,"40,642","34,381","5,121","1,140","37,845",6.88%,3.502
,1/1/1995,"132,669","132,314",355,"40,757","34,566","5,065","1,126","38,054",6.63%,3.477
,1/1/1996,"134,215","133,795",420,"40,884","34,762","5,015","1,107","38,276",6.38%,3.496
,1/1/1997,"136,323","135,838",485,"40,990","34,912","4,989","1,089","38,479",6.13%,3.530
,1/1/1998,"137,962","137,411",551,"41,032","35,019","4,938","1,075","38,621",5.88%,3.558
,1/1/1999,"140,457","139,841",616,"41,312","35,261","4,994","1,057","38,984",5.64%,3.587
,1/1/2000,"142,161","141,480",681,"41,415","35,430","4,942","1,043","39,183",5.39%,3.611
,4/1/2000,"142,379","141,682",697,"41,430","35,459","4,929","1,042","39,224",5.32%,3.612
,,,,,,,,,,,
Riverside,4/1/1990,0,0,0,0,0,0,0,0,0.00%,0.000
Murrieta,1/1/1991,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/1992,"24,334","24,245",89,"9,712","7,768","1,292",652,"7,538",22.38%,3.216
,1/1/1993,"27,901","27,801",100,"10,357","8,039","1,677",641,"8,370",19.19%,3.322
,1/1/1994,"30,286","30,174",112,"10,740","8,451","1,665",624,"9,016",16.05%,3.347
,1/1/1995,"32,595","32,471",124,"11,313","9,051","1,653",609,"9,797",13.40%,3.314
,1/1/1996,"34,589","34,453",136,"11,964","9,731","1,641",592,"10,632",11.13%,3.241
,1/1/1997,"36,842","36,694",148,"12,642","10,432","1,629",581,"11,487",9.14%,3.194
,1/1/1998,"38,959","38,800",159,"13,287","11,105","1,618",564,"12,319",7.29%,3.150
,1/1/1999,"41,646","41,475",171,"14,106","11,942","1,606",558,"13,274",5.90%,3.125
,1/1/2000,"43,902","43,719",183,"14,793","12,580","1,672",541,"14,136",4.44%,3.093
,4/1/2000,"44,282","44,096",186,"14,921","12,712","1,669",540,"14,320",4.03%,3.079
,,,,,,,,,,,
Riverside,4/1/1990,"23,302","18,285","5,017","5,785","5,538",194,53,"5,592",3.34%,3.270
Norco,1/1/1991,"23,218","18,235","4,983","5,859","5,613",188,58,"5,669",3.24%,3.217
,1/1/1992,"23,275","18,635","4,640","5,920","5,674",181,65,"5,734",3.14%,3.250
,1/1/1993,"23,454","18,513","4,941","5,928","5,712",174,42,"5,749",3.02%,3.220
,1/1/1994,"23,718","18,501","5,217","5,944","5,730",166,48,"5,771",2.91%,3.206
,1/1/1995,"23,480","18,517","4,963","5,984","5,774",155,55,"5,816",2.81%,3.184
,1/1/1996,"23,511","18,550","4,961","6,017","5,818",137,62,"5,855",2.69%,3.168
,1/1/1997,"23,619","18,745","4,874","6,062","5,864",129,69,"5,906",2.57%,3.174
,1/1/1998,"24,098","18,998","5,100","6,153","5,914",163,76,"6,000",2.49%,3.166
,1/1/1999,"23,988","19,039","4,949","6,169","5,932",155,82,"6,023",2.37%,3.161
,1/1/2000,"24,156","19,228","4,928","6,236","5,999",148,89,"6,095",2.26%,3.155
,4/1/2000,"24,157","19,330","4,827","6,277","6,040",146,91,"6,136",2.25%,3.150
,,,,,,,,,,,
Riverside,4/1/1990,"23,252","23,134",118,"18,248","12,053","5,016","1,179","10,595",41.94%,2.183
Palm Desert,1/1/1991,"23,880","23,700",180,"18,532","12,320","5,026","1,186","11,027",40.50%,2.149
,1/1/1992,"25,035","24,858",177,"18,611","12,429","4,994","1,188","11,427",38.60%,2.175
,1/1/1993,"26,978","26,805",173,"20,216","13,876","5,152","1,188","12,449",38.42%,2.153
,1/1/1994,"28,108","27,938",170,"20,613","14,252","5,173","1,188","13,029",36.79%,2.144
,1/1/1995,"34,487","34,244",243,"25,705","18,169","6,336","1,200","16,037",37.61%,2.135
,1/1/1996,"35,504","35,264",240,"26,017","18,487","6,330","1,200","16,564",36.33%,2.129
,1/1/1997,"36,767","36,530",237,"26,381","18,891","6,291","1,199","17,120",35.10%,2.134
,1/1/1998,"37,815","37,581",234,"26,649","19,189","6,262","1,198","17,623",33.87%,2.132
,1/1/1999,"39,424","39,193",231,"27,325","19,909","6,218","1,198","18,354",32.83%,2.135
,1/1/2000,"40,957","40,729",228,"27,969","20,572","6,200","1,197","19,067",31.83%,2.136
,4/1/2000,"41,155","40,928",227,"28,021","20,634","6,190","1,197","19,184",31.54%,2.133
,,,,,,,,,,,
Riverside,4/1/1990,"40,144","39,595",549,"30,490","16,016","12,192","2,282","18,606",38.98%,2.128
Palm Springs,1/1/1991,"40,402","39,828",574,"30,689","16,126","12,261","2,302","18,855",38.56%,2.112
