"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2020",,,,,,,,,,,,,,,,,
,,               POPULATION             ,,,                                    HOUSING UNITS ,,,,,,,,,,,,
San Bernardino ,Yucca Valley        ,"22,306","22,087",219,"9,779","7,552",299,702,470,756,"8,806",9.9%,2.51,,,,
San Bernardino ,Balance Of County    ,"304,589","300,643","3,946","135,075","112,383","2,930","4,087","2,297","13,378","97,131",28.1%,3.10,,,,
San Bernardino ,Incorporated,"1,870,835","1,836,340","34,495","591,605","404,268","22,251","42,288","92,214","30,584","548,667",7.3%,3.35,,,,
San Bernardino ,County Total,"2,175,424","2,136,983","38,441","726,680","516,651","25,181","46,375","94,511","43,962","645,798",11.1%,3.31,,,,
San Diego ,Carlsbad            ,"114,664","113,749",915,"47,629","25,055","8,055","2,620","10,619","1,280","44,355",6.9%,2.57,,,,
San Diego ,Chula Vista         ,"273,384","271,727","1,657","86,785","46,225","8,420","5,283","22,792","4,065","83,614",3.7%,3.25,,,,
San Diego ,Coronado            ,"21,422","17,599","3,823","9,740","4,448","1,043",659,"3,587",3,"7,512",22.9%,2.34,,,,
San Diego ,Del Mar             ,"4,271","4,271",0,"2,630","1,359",517,201,553,0,"2,087",20.6%,2.05,,,,
San Diego ,El Cajon            ,"103,576","101,094","2,482","36,282","14,957","1,783","2,845","14,756","1,941","35,032",3.4%,2.89,,,,
San Diego ,Encinitas           ,"62,243","61,715",528,"26,625","15,517","4,963","1,820","3,647",678,"24,809",6.8%,2.49,,,,
San Diego ,Escondido           ,"151,803","149,429","2,374","49,211","24,884","2,994","3,353","14,184","3,796","47,201",4.1%,3.17,,,,
San Diego ,Imperial Beach      ,"27,978","27,491",487,"10,146","3,948",826,"1,240","3,814",318,"9,594",5.4%,2.87,,,,
San Diego ,La Mesa             ,"59,621","58,964",657,"26,929","12,611","1,603","2,449","10,084",182,"25,231",6.3%,2.34,,,,
San Diego ,Lemon Grove         ,"26,432","26,086",346,"9,139","6,015",795,661,"1,588",80,"8,676",5.1%,3.01,,,,
San Diego ,National City       ,"62,496","56,468","6,028","17,290","7,472","1,619","1,586","6,174",439,"16,317",5.6%,3.46,,,,
San Diego ,Oceanside           ,"176,969","176,033",936,"66,078","34,640","7,603","5,783","14,777","3,275","61,802",6.5%,2.85,,,,
San Diego ,Poway               ,"49,096","48,546",550,"16,932","12,717",686,403,"2,305",821,"16,313",3.7%,2.98,,,,
San Diego ,San Diego           ,"1,421,462","1,364,580","56,882","549,070","242,173","47,023","45,367","207,756","6,751","517,929",5.7%,2.64,,,,
San Diego ,San Marcos          ,"97,281","95,526","1,755","32,460","16,597","2,367","1,238","8,929","3,329","30,851",5.0%,3.10,,,,
San Diego ,Santee              ,"57,430","56,179","1,251","21,248","11,871","1,930","1,247","3,864","2,336","20,364",4.2%,2.76,,,,
San Diego ,Solana Beach        ,"13,872","13,872",0,"6,594","3,159","1,272",413,"1,737",13,"5,997",9.1%,2.31,,,,
San Diego ,Vista               ,"102,570","100,456","2,114","32,874","16,237","2,423","2,333","9,986","1,895","31,595",3.9%,3.18,,,,
San Diego ,Balance Of County    ,"504,709","475,084","29,625","179,217","122,976","10,510","8,313","22,240","15,178","164,702",8.1%,2.89,,,,
San Diego ,Incorporated,"2,826,570","2,743,785","82,785","1,047,662","499,885","95,922","79,501","341,152","31,202","989,279",5.6%,2.77,,,,
San Diego ,County Total,"3,331,279","3,218,869","112,410","1,226,879","622,861","106,432","87,814","363,392","46,380","1,153,981",5.9%,2.79,,,,
San Francisco ,San Francisco       ,"889,783","862,470","27,313","404,164","65,867","59,682","81,744","196,269",602,"372,620",7.8%,2.32,,,,
San Joaquin ,Escalon             ,"7,471","7,456",15,"2,663","2,272",11,128,84,168,"2,517",5.5%,2.96,,,,
San Joaquin ,Lathrop             ,"26,806","26,794",12,"7,284","6,685",108,42,71,378,"6,898",5.3%,3.88,,,,
San Joaquin ,Lodi                ,"68,011","67,334",677,"24,754","15,711","1,458","1,848","5,298",439,"23,494",5.1%,2.87,,,,
San Joaquin ,Manteca             ,"84,842","84,347",495,"27,667","21,763","1,136","1,147","2,823",798,"26,565",4.0%,3.18,,,,
San Joaquin ,Ripon               ,"15,818","15,728",90,"5,568","4,522",318,202,513,13,"5,215",6.3%,3.02,,,,
San Joaquin ,Stockton            ,"319,188","310,242","8,946","101,235","65,230","7,680","8,996","18,221","1,108","95,381",5.8%,3.25,,,,
San Joaquin ,Tracy               ,"95,861","95,545",316,"27,843","22,407",880,"1,596","2,491",469,"27,307",1.9%,3.50,,,,
San Joaquin ,Balance Of County    ,"155,508","150,106","5,402","52,044","43,059","1,553","1,034",982,"5,416","47,743",8.3%,3.14,,,,
San Joaquin ,Incorporated,"617,997","607,446","10,551","197,014","138,590","11,591","13,959","29,501","3,373","187,377",4.9%,3.24,,,,
San Joaquin ,County Total,"773,505","757,552","15,953","249,058","181,649","13,144","14,993","30,483","8,789","235,120",5.6%,3.22,,,,
San Luis Obispo ,Arroyo Grande       ,"17,617","17,443",174,"7,879","5,380",648,370,886,595,"7,481",5.1%,2.33,,,,
San Luis Obispo ,Atascadero          ,"30,042","28,593","1,449","12,307","8,623",543,"1,078","1,526",537,"11,766",4.4%,2.43,,,,
San Luis Obispo ,El Paso De Robles   ,"31,245","30,976",269,"12,139","8,447",816,"1,057","1,525",294,"11,697",3.6%,2.65,,,,
San Luis Obispo ,Grover Beach        ,"13,204","13,015",189,"5,842","3,446",740,884,564,208,"5,307",9.2%,2.45,,,,
San Luis Obispo ,Morro Bay           ,"10,151","9,990",161,"6,491","4,644",380,451,528,488,"4,970",23.4%,2.01,,,,
San Luis Obispo ,Pismo Beach         ,"8,191","8,178",13,"5,832","3,413",618,527,514,760,"4,246",27.2%,1.93,,,,
San Luis Obispo ,San Luis Obispo     ,"45,916","44,609","1,307","21,652","10,001","1,449","2,745","5,973","1,484","20,155",6.9%,2.21,,,,
San Luis Obispo ,Balance Of County    ,"120,452","107,608","12,844","51,491","39,823","1,506","2,277","1,390","6,495","43,103",16.3%,2.50,,,,
San Luis Obispo ,Incorporated,"156,366","152,804","3,562","72,142","43,954","5,194","7,112","11,516","4,366","65,622",9.0%,2.33,,,,
San Luis Obispo ,County Total,"276,818","260,412","16,406","123,633","83,777","6,700","9,389","12,906","10,861","108,725",12.1%,2.40,,,,
San Mateo ,Atherton            ,"6,942","6,557",385,"2,505","2,453",46,6,0,0,"2,246",10.3%,2.92,,,,
San Mateo ,Belmont             ,"26,669","26,155",514,"11,097","6,437",665,341,"3,654",0,"10,469",5.7%,2.50,,,,
San Mateo ,Brisbane            ,"4,621","4,605",16,"2,035","1,189",235,219,326,66,"1,886",7.3%,2.44,,,,
San Mateo ,Burlingame          ,"30,068","29,619",449,"13,125","6,301",579,883,"5,349",13,"12,379",5.7%,2.39,,,,
San Mateo ,Colma               ,"1,678","1,671",7,517,210,113,88,96,10,493,4.6%,3.39,,,,
San Mateo ,Daly City           ,"108,767","108,086",681,"33,428","15,953","4,884","3,894","8,148",549,"32,087",4.0%,3.37,,,,
San Mateo ,East Palo Alto      ,"30,630","30,476",154,"7,917","4,280",321,267,"2,900",149,"7,243",8.5%,4.21,,,,
San Mateo ,Foster City         ,"33,025","32,882",143,"13,154","4,665","2,637",908,"4,944",0,"12,458",5.3%,2.64,,,,
San Mateo ,Half Moon Bay       ,"12,404","12,386",18,"4,731","2,856",563,285,494,533,"4,357",7.9%,2.84,,,,
San Mateo ,Hillsborough        ,"11,442","11,442",0,"4,091","3,936",127,28,0,0,"3,745",8.5%,3.06,,,,
San Mateo ,Menlo Park          ,"35,120","34,340",780,"14,082","7,292","1,094","1,753","3,915",28,"13,040",7.4%,2.63,,,,
San Mateo ,Millbrae            ,"22,742","22,427",315,"8,628","5,383",297,285,"2,630",33,"8,101",6.1%,2.77,,,,
San Mateo ,Pacifica            ,"38,267","38,085",182,"14,515","10,355",955,826,"2,281",98,"13,765",5.2%,2.77,,,,
San Mateo ,Portola Valley      ,"4,598","4,554",44,"1,926","1,562",0,40,324,0,"1,767",8.3%,2.58,,,,
San Mateo ,Redwood City        ,"86,444","84,925","1,519","31,536","14,043","4,073","1,898","10,890",632,"30,265",4.0%,2.81,,,,
San Mateo ,San Bruno           ,"45,392","44,994",398,"16,159","9,049",611,881,"5,618",0,"15,567",3.7%,2.89,,,,
San Mateo ,San Carlos          ,"30,067","29,976",91,"12,385","8,394",540,577,"2,842",32,"11,725",5.3%,2.56,,,,
San Mateo ,San Mateo           ,"102,766","101,450","1,316","41,440","18,352","4,116","2,603","16,313",56,"38,789",6.4%,2.62,,,,
San Mateo ,South San Francisco ,"67,730","67,151",579,"22,437","13,128","2,847","1,351","4,780",331,"21,414",4.6%,3.14,,,,
San Mateo ,Woodside            ,"5,670","5,670",0,"2,219","2,118",60,26,0,15,"2,034",8.3%,2.79,,,,
San Mateo ,Balance Of County    ,"66,019","64,225","1,794","22,932","18,682",799,793,"2,028",630,"21,461",6.4%,2.99,,,,
San Mateo ,Incorporated,"705,042","697,451","7,591","257,927","137,956","24,763","17,159","75,504","2,545","243,830",5.5%,2.86,,,,
San Mateo ,County Total,"771,061","761,676","9,385","280,859","156,638","25,562","17,952","77,532","3,175","265,291",5.5%,2.87,,,,
Santa Barbara ,Buellton            ,"5,447","5,447",0,"2,081","1,243",244,14,176,404,"1,987",4.5%,2.74,,,,
Santa Barbara ,Carpinteria         ,"13,268","13,249",19,"5,606","2,199",423,670,"1,466",848,"4,842",13.6%,2.74,,,,
Santa Barbara ,Goleta,"32,112","31,827",285,"12,538","5,501","1,524","1,058","3,834",621,"11,755",6.2%,2.71,,,,
Santa Barbara ,Guadalupe           ,"7,946","7,946",0,"2,138","1,545",186,215,183,9,"2,033",4.9%,3.91,,,,
Santa Barbara ,Lompoc              ,"43,644","40,406","3,238","14,682","7,946",764,"2,125","2,867",980,"13,916",5.2%,2.90,,,,
Santa Barbara ,Santa Barbara       ,"93,225","91,598","1,627","39,145","18,127","3,503","5,732","11,393",390,"37,269",4.8%,2.46,,,,
Santa Barbara ,Santa Maria         ,"107,205","106,198","1,007","30,430","18,677","1,491","2,731","5,982","1,549","29,045",4.6%,3.66,,,,
Santa Barbara ,Solvang             ,"5,553","5,498",55,"2,698","1,572",199,262,529,136,"2,302",14.7%,2.39,,,,
Santa Barbara ,Balance Of County    ,"142,111","128,135","13,976","51,999","36,283","3,030","2,723","6,742","3,221","47,794",8.1%,2.68,,,,
Santa Barbara ,Incorporated,"308,400","302,169","6,231","109,318","56,810","8,334","12,807","26,430","4,937","103,149",5.6%,2.93,,,,
Santa Barbara ,County Total,"450,511","430,304","20,207","161,317","93,093","11,364","15,530","33,172","8,158","150,943",6.4%,2.85,,,,
Santa Clara ,Campbell            ,"41,898","41,697",201,"18,158","8,189","2,404","2,028","5,221",316,"16,771",7.6%,2.49,,,,
Santa Clara ,Cupertino           ,"59,244","58,907",337,"21,050","12,021","2,572","2,016","4,441",0,"19,981",5.1%,2.95,,,,
Santa Clara ,Gilroy              ,"56,704","55,898",806,"16,676","11,664",887,"1,709","2,099",317,"16,078",3.6%,3.48,,,,
Santa Clara ,Los Altos           ,"30,754","30,527",227,"11,677","9,453",561,253,"1,410",0,"11,118",4.8%,2.75,,,,
Santa Clara ,Los Altos Hills     ,"8,418","8,365",53,"3,180","3,124",13,2,14,27,"2,930",7.9%,2.86,,,,
Santa Clara ,Los Gatos           ,"31,087","30,737",350,"13,637","8,133","1,779","1,223","2,438",64,"12,730",6.7%,2.42,,,,
Santa Clara ,Milpitas            ,"77,180","74,352","2,828","22,553","12,059","3,758","1,468","4,840",428,"21,753",3.5%,3.42,,,,
Santa Clara ,Monte Sereno        ,"3,622","3,622",0,"1,383","1,322",38,4,19,0,"1,279",7.5%,2.83,,,,
Santa Clara ,Morgan Hill         ,"46,299","45,913",386,"15,350","9,059","2,720",845,"1,498","1,228","14,703",4.2%,3.12,,,,
Santa Clara ,Mountain View       ,"81,302","81,032",270,"36,727","10,698","4,625","3,072","17,266","1,066","34,184",6.9%,2.37,,,,
Santa Clara ,Palo Alto           ,"68,145","67,630",515,"29,298","16,574","1,231","1,927","9,467",99,"27,351",6.6%,2.47,,,,
Santa Clara ,San Jose            ,"1,041,466","1,028,154","13,312","336,507","176,908","32,620","23,353","92,667","10,959","323,674",3.8%,3.18,,,,
Santa Clara ,Santa Clara         ,"127,301","124,105","3,196","48,975","19,450","4,473","4,994","20,012",46,"46,329",5.4%,2.68,,,,
Santa Clara ,Saratoga            ,"30,850","30,651",199,"11,301","9,473",791,385,652,0,"10,784",4.6%,2.84,,,,
Santa Clara ,Sunnyvale           ,"154,252","153,403",849,"60,273","21,729","5,933","5,002","23,799","3,810","57,301",4.9%,2.68,,,,
Santa Clara ,Balance Of County    ,"86,644","79,766","6,878","27,813","21,450","1,052","1,123","3,620",568,"26,299",5.4%,3.03,,,,
Santa Clara ,Incorporated,"1,858,522","1,834,993","23,529","646,745","329,856","64,405","48,281","185,843","18,360","616,966",4.6%,2.97,,,,
Santa Clara ,County Total,"1,945,166","1,914,759","30,407","674,558","351,306","65,457","49,404","189,463","18,928","643,265",4.6%,2.98,,,,
Santa Cruz ,Capitola            ,"10,142","9,994",148,"5,554","1,654",606,"1,403","1,118",773,"4,779",14.0%,2.09,,,,
Santa Cruz ,Santa Cruz          ,"64,547","53,422","11,125","23,954","13,238","2,616","2,621","5,130",349,"22,617",5.6%,2.36,,,,
Santa Cruz ,Scotts Valley       ,"11,714","11,442",272,"4,739","2,626",574,393,381,765,"4,521",4.6%,2.53,,,,
Santa Cruz ,Watsonville         ,"51,656","51,128",528,"14,226","7,412","1,299","1,659","2,726","1,130","13,782",3.1%,3.71,,,,
Santa Cruz ,Balance Of County    ,"132,314","130,490","1,824","57,662","41,925","4,467","3,647","3,712","3,911","51,588",10.5%,2.53,,,,
Santa Cruz ,Incorporated,"138,059","125,986","12,073","48,473","24,930","5,095","6,076","9,355","3,017","45,699",5.7%,2.76,,,,
Santa Cruz ,County Total,"270,373","256,476","13,897","106,135","66,855","9,562","9,723","13,067","6,928","97,287",8.3%,2.64,,,,
Shasta ,Anderson            ,"10,645","10,633",12,"4,490","2,725",219,552,780,214,"4,259",5.1%,2.50,,,,
Shasta ,Redding             ,"91,503","89,128","2,375","39,800","25,538","1,697","4,663","5,384","2,518","36,928",7.2%,2.41,,,,
Shasta ,Shasta Lake         ,"10,626","10,609",17,"4,307","3,305",115,157,164,566,"4,152",3.6%,2.56,,,,
Shasta ,Balance Of County    ,"64,762","64,211",551,"29,637","22,650",752,450,485,"5,300","25,549",13.8%,2.51,,,,
Shasta ,Incorporated,"112,774","110,370","2,404","48,597","31,568","2,031","5,372","6,328","3,298","45,339",6.7%,2.43,,,,
Shasta ,County Total,"177,536","174,581","2,955","78,234","54,218","2,783","5,822","6,813","8,598","70,888",9.4%,2.46,,,,
Sierra ,Loyalton            ,755,724,31,367,349,3,0,0,15,306,16.6%,2.37,,,,
Sierra ,Balance Of County    ,"2,445","2,443",2,"1,987","1,763",36,33,73,82,"1,171",41.1%,2.09,,,,
Sierra ,Incorporated,755,724,31,367,349,3,0,0,15,306,16.6%,2.37,,,,
Sierra ,County Total,"3,200","3,167",33,"2,354","2,112",39,33,73,97,"1,477",37.3%,2.14,,,,
Siskiyou ,Dorris              ,991,991,0,417,322,2,16,0,77,395,5.3%,2.51,,,,
Siskiyou ,Dunsmuir            ,"1,648","1,648",0,"1,106",696,29,117,251,13,779,29.6%,2.12,,,,
Siskiyou ,Etna                ,743,737,6,362,287,0,9,13,53,332,8.3%,2.22,,,,
Siskiyou ,Fort Jones          ,670,670,0,348,243,11,34,2,58,293,15.8%,2.29,,,,
Siskiyou ,Montague            ,"1,351","1,333",18,632,404,7,58,63,100,551,12.8%,2.42,,,,
Siskiyou ,Mount Shasta        ,"3,402","3,366",36,"1,903","1,203",37,400,233,30,"1,707",10.3%,1.97,,,,
Siskiyou ,Tulelake            ,904,904,0,436,297,2,42,18,77,319,26.8%,2.83,,,,
Siskiyou ,Weed                ,"2,731","2,541",190,"1,181",848,71,103,119,40,"1,043",11.7%,2.44,,,,
Siskiyou ,Yreka               ,"7,750","7,615",135,"3,704","2,264",159,449,656,176,"3,427",7.5%,2.22,,,,
Siskiyou ,Balance Of County    ,"24,273","24,063",210,"14,165","10,257",254,299,363,"2,992","10,884",23.2%,2.21,,,,
Siskiyou ,Incorporated,"20,190","19,805",385,"10,089","6,564",318,"1,228","1,355",624,"8,846",12.3%,2.24,,,,
Siskiyou ,County Total,"44,463","43,868",595,"24,254","16,821",572,"1,527","1,718","3,616","19,730",18.7%,2.22,,,,
Solano ,Benicia             ,"27,114","27,088",26,"11,348","7,485",848,"1,166","1,611",238,"10,823",4.6%,2.50,,,,
Solano ,Dixon               ,"19,932","19,931",1,"6,614","5,097",269,418,782,48,"6,414",3.0%,3.11,,,,
Solano ,Fairfield           ,"117,553","115,115","2,438","40,220","28,320","2,483","2,015","6,403",999,"38,582",4.1%,2.98,,,,
Solano ,Rio Vista           ,"10,063","10,060",3,"5,096","4,548",203,25,141,179,"4,761",6.6%,2.11,,,,
Solano ,Suisun City         ,"28,907","28,863",44,"9,563","7,960",249,382,788,184,"9,231",3.5%,3.13,,,,
Solano ,Vacaville           ,"98,339","91,217","7,122","35,389","25,391","1,103","2,257","5,502","1,136","33,885",4.2%,2.69,,,,
Solano ,Vallejo             ,"118,151","116,203","1,948","44,815","30,117","1,340","4,859","7,141","1,358","41,547",7.3%,2.80,,,,
Solano ,Balance Of County    ,"19,152","18,974",178,"7,569","6,558",314,156,56,485,"6,893",8.9%,2.75,,,,
Solano ,Incorporated,"420,059","408,477","11,582","153,045","108,918","6,495","11,122","22,368","4,142","145,243",5.1%,2.81,,,,
Solano ,County Total,"439,211","427,451","11,760","160,614","115,476","6,809","11,278","22,424","4,627","152,136",5.3%,2.81,,,,
Sonoma ,Cloverdale          ,"9,172","9,084",88,"3,502","2,614",279,91,375,143,"3,325",5.1%,2.73,,,,
Sonoma ,Cotati              ,"7,505","7,495",10,"3,211","1,465",613,452,556,125,"2,999",6.6%,2.50,,,,
Sonoma ,Healdsburg          ,"11,901","11,846",55,"5,059","3,743",206,492,548,70,"4,518",10.7%,2.62,,,,
Sonoma ,Petaluma            ,"61,738","61,014",724,"23,730","16,706","1,802","1,557","2,898",767,"23,046",2.9%,2.65,,,,
Sonoma ,Rohnert Park        ,"42,531","42,488",43,"17,267","8,161","1,490","1,327","4,739","1,550","16,564",4.1%,2.57,,,,
Sonoma ,Santa Rosa          ,"173,153","169,568","3,585","69,185","39,955","6,287","6,280","13,474","3,189","66,068",4.5%,2.57,,,,
Sonoma ,Sebastopol          ,"7,741","7,612",129,"3,526","2,227",339,383,508,69,"3,379",4.2%,2.25,,,,
Sonoma ,Sonoma              ,"11,013","10,776",237,"5,702","3,180",583,551,904,484,"5,028",11.8%,2.14,,,,
Sonoma ,Windsor             ,"28,140","28,089",51,"9,722","7,603",582,177,720,640,"9,263",4.7%,3.03,,,,
Sonoma ,Balance Of County    ,"138,460","133,450","5,010","65,193","53,109","2,603","2,633","2,401","4,447","54,522",16.4%,2.45,,,,
Sonoma ,Incorporated,"352,894","347,972","4,922","140,904","85,654","12,181","11,310","24,722","7,037","134,190",4.8%,2.59,,,,
Sonoma ,County Total,"491,354","481,422","9,932","206,097","138,763","14,784","13,943","27,123","11,484","188,712",8.4%,2.55,,,,
Stanislaus ,Ceres               ,"48,886","48,533",353,"13,900","10,587",716,656,"1,185",756,"13,242",4.7%,3.67,,,,
Stanislaus ,Hughson             ,"7,260","7,241",19,"2,446","2,088",22,42,233,61,"2,192",10.4%,3.30,,,,
Stanislaus ,Modesto             ,"218,440","215,194","3,246","76,641","53,259","3,236","7,884","9,982","2,280","72,689",5.2%,2.96,,,,
Stanislaus ,Newman              ,"11,950","11,884",66,"3,659","3,031",139,163,326,0,"3,406",6.9%,3.49,,,,
Stanislaus ,Oakdale             ,"23,109","22,922",187,"8,407","6,569",452,456,609,321,"7,900",6.0%,2.90,,,,
Stanislaus ,Patterson           ,"23,150","23,147",3,"6,626","5,854",178,160,301,133,"6,186",6.6%,3.74,,,,
Stanislaus ,Riverbank           ,"25,133","24,965",168,"7,366","6,279",250,160,380,297,"7,068",4.0%,3.53,,,,
Stanislaus ,Turlock             ,"75,030","73,683","1,347","24,986","17,364","1,563","1,651","3,783",625,"24,140",3.4%,3.05,,,,
Stanislaus ,Waterford           ,"8,913","8,890",23,"2,687","2,138",61,113,363,12,"2,510",6.6%,3.54,,,,
Stanislaus ,Balance Of County    ,"113,060","111,571","1,489","36,350","29,765",875,"1,139",430,"4,141","33,327",8.3%,3.35,,,,
Stanislaus ,Incorporated,"441,871","436,459","5,412","146,718","107,169","6,617","11,285","17,162","4,485","139,333",5.0%,3.13,,,,
Stanislaus ,County Total,"554,931","548,030","6,901","183,068","136,934","7,492","12,424","17,592","8,626","172,660",5.7%,3.17,,,,
Sutter ,Live Oak            ,"9,232","9,116",116,"2,780","2,016",241,132,284,107,"2,545",8.5%,3.58,,,,
Sutter ,Yuba City           ,"70,901","70,300",601,"23,779","15,728",930,"1,927","4,240",954,"22,490",5.4%,3.13,,,,
Sutter ,Balance Of County    ,"21,206","21,146",60,"7,939","6,891",275,158,154,461,"7,144",10.0%,2.96,,,,
Sutter ,Incorporated,"80,133","79,416",717,"26,559","17,744","1,171","2,059","4,524","1,061","25,035",5.7%,3.17,,,,
Sutter ,County Total,"101,339","100,562",777,"34,498","24,635","1,446","2,217","4,678","1,522","32,179",6.7%,3.13,,,,
Tehama ,Corning             ,"7,657","7,632",25,"2,882","1,821",46,298,598,119,"2,669",7.4%,2.86,,,,
Tehama ,Red Bluff           ,"14,288","13,853",435,"5,954","3,635",113,816,921,469,"5,548",6.8%,2.50,,,,
Tehama ,Tehama              ,448,448,0,196,150,13,12,11,10,179,8.7%,2.50,,,,
Tehama ,Balance Of County    ,"42,733","42,410",323,"18,682","12,207",281,260,204,"5,730","16,421",12.1%,2.58,,,,
Tehama ,Incorporated,"22,393","21,933",460,"9,032","5,606",172,"1,126","1,530",598,"8,396",7.0%,2.61,,,,
Tehama ,County Total,"65,126","64,343",783,"27,714","17,813",453,"1,386","1,734","6,328","24,817",10.5%,2.59,,,,
Trinity ,County Total,"13,551","13,192",359,"8,964","5,975",117,347,269,"2,256","6,253",30.2%,2.11,,,,
Tulare ,Dinuba              ,"25,759","25,597",162,"6,876","5,102",135,622,718,299,"6,679",2.9%,3.83,,,,
Tulare ,Exeter              ,"11,023","10,950",73,"3,690","2,854",212,299,162,163,"3,582",2.9%,3.06,,,,
Tulare ,Farmersville        ,"11,384","11,384",0,"2,832","2,279",110,204,159,80,"2,772",2.1%,4.11,,,,
Tulare ,Lindsay             ,"13,131","13,035",96,"3,557","2,397",150,279,588,143,"3,343",6.0%,3.90,,,,
Tulare ,Porterville         ,"59,491","58,684",807,"18,315","12,411","1,213","1,965","1,653","1,073","17,199",6.1%,3.41,,,,
Tulare ,Tulare              ,"68,058","67,780",278,"21,402","16,769",424,"1,986","1,611",612,"20,222",5.5%,3.35,,,,
Tulare ,Visalia             ,"138,456","137,095","1,361","48,583","37,050","1,474","5,246","3,208","1,605","45,738",5.9%,3.00,,,,
Tulare ,Woodlake            ,"7,825","7,825",0,"2,233","1,513",156,141,365,58,"2,101",5.9%,3.72,,,,
Tulare ,Balance Of County    ,"144,276","142,399","1,877","44,613","34,942",58,"1,740","1,253","6,620","39,165",12.2%,3.64,,,,
Tulare ,Incorporated,"335,127","332,350","2,777","107,488","80,375","3,874","10,742","8,464","4,033","101,636",5.4%,3.27,,,,
Tulare ,County Total,"479,403","474,749","4,654","152,101","115,317","3,932","12,482","9,717","10,653","140,801",7.4%,3.37,,,,
Tuolumne ,Sonora              ,"4,777","4,476",301,"2,475","1,416",87,354,595,23,"2,156",12.9%,2.08,,,,
Tuolumne ,Balance Of County    ,"50,148","46,543","3,605","29,215","23,803",213,882,840,"3,477","20,270",30.6%,2.30,,,,
Tuolumne ,Incorporated,"4,777","4,476",301,"2,475","1,416",87,354,595,23,"2,156",12.9%,2.08,,,,
Tuolumne ,County Total,"54,925","51,019","3,906","31,690","25,219",300,"1,236","1,435","3,500","22,426",29.2%,2.27,,,,
Ventura ,Camarillo           ,"69,964","69,460",504,"27,789","16,095","4,901","1,053","4,720","1,020","26,664",4.0%,2.61,,,,
Ventura ,Fillmore            ,"15,558","15,392",166,"4,664","3,457",232,350,239,386,"4,371",6.3%,3.52,,,,
Ventura ,Moorpark            ,"36,264","36,264",0,"11,415","8,341","1,518",211,"1,201",144,"11,138",2.4%,3.26,,,,
Ventura ,Ojai                ,"7,450","7,270",180,"3,481","2,398",320,448,315,0,"3,134",10.0%,2.32,,,,
Ventura ,Oxnard              ,"205,950","204,516","1,434","56,240","30,743","5,802","3,842","13,238","2,615","52,549",6.6%,3.89,,,,
Ventura ,Port Hueneme        ,"23,707","22,920",787,"8,284","2,688","2,373",961,"2,253",9,"7,822",5.6%,2.93,,,,
Ventura ,San Buenaventura    ,"105,878","103,967","1,911","43,784","24,343","4,819","3,355","8,894","2,373","41,142",6.0%,2.53,,,,
Ventura ,Santa Paula         ,"30,386","30,253",133,"9,050","5,255",716,903,"1,336",840,"8,768",3.1%,3.45,,,,
Ventura ,Simi Valley         ,"124,953","124,293",660,"43,469","31,455","3,466","2,044","5,743",761,"41,883",3.6%,2.97,,,,
Ventura ,Thousand Oaks       ,"126,384","124,642","1,742","48,159","32,518","5,412","1,932","7,094","1,203","46,354",3.7%,2.69,,,,
Ventura ,Balance Of County    ,"94,725","90,821","3,904","34,875","27,891","2,275",976,"1,726","2,007","31,868",8.6%,2.85,,,,
Ventura ,Incorporated,"746,494","738,977","7,517","256,335","157,293","29,559","15,099","45,033","9,351","243,825",4.9%,3.03,,,,
Ventura ,County Total,"841,219","829,798","11,421","291,210","185,184","31,834","16,075","46,759","11,358","275,693",5.3%,3.01,,,,
Yolo ,Davis               ,"68,915","67,448","1,467","27,024","12,671","2,407","3,189","8,270",487,"26,297",2.7%,2.57,,,,
Yolo ,West Sacramento     ,"54,208","53,870",338,"20,241","12,540","1,017","1,263","3,907","1,514","19,306",4.6%,2.79,,,,
Yolo ,Winters             ,"7,257","7,251",6,"2,498","1,838",111,185,276,88,"2,384",4.6%,3.04,,,,
Yolo ,Woodland            ,"60,809","59,975",834,"21,141","13,718","1,135","1,673","4,077",538,"20,522",2.9%,2.92,,,,
Yolo ,Balance Of County    ,"30,087","19,819","10,268","7,473","5,904",201,275,164,929,"6,988",6.5%,2.84,,,,
Yolo ,Incorporated,"191,189","188,544","2,645","70,904","40,767","4,670","6,310","16,530","2,627","68,509",3.4%,2.75,,,,
Yolo ,County Total,"221,276","208,363","12,913","78,377","46,671","4,871","6,585","16,694","3,556","75,497",3.7%,2.76,,,,
Yuba ,Marysville          ,"12,381","11,741",640,"5,214","3,167",110,901,981,55,"4,852",6.9%,2.42,,,,
Yuba ,Wheatland           ,"3,621","3,621",0,"1,340",968,25,248,63,36,"1,289",3.8%,2.81,,,,
Yuba ,Balance Of County    ,"62,508","61,951",557,"22,505","16,417",410,"1,524","1,305","2,849","20,657",8.2%,3.00,,,,
Yuba ,Incorporated,"16,002","15,362",640,"6,554","4,135",135,"1,149","1,044",91,"6,141",6.3%,2.50,,,,
Yuba ,County Total,"78,510","77,313","1,197","29,059","20,552",545,"2,673","2,349","2,940","26,798",7.8%,2.89,,,,
California ,Incorporated Total,"33,138,914","32,462,455","676,459","11,847,938","6,381,157","899,957","1,032,270","3,208,873","325,681","11,079,288",6.5%,2.93,,,,
California ,Balance Of State Total,"6,510,024","6,333,601","176,423","2,482,105","1,850,277","96,906","110,994","188,792","235,136","2,167,334",12.7%,2.92,,,,
