"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2018",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
Tracy               ,"90,832","90,516",316,"26,964","21,813",878,"1,592","2,213",468,"24,928",7.6%,3.63
,,,,,,,,,,, ,
Balance Of County    ,"156,835","151,552","5,283","50,632","41,934","1,326","1,034",982,"5,356","46,448",8.3%,3.26
Incorporated,"600,444","590,669","9,775","192,788","135,489","11,278","13,897","28,753","3,371","175,792",8.8%,3.36
 ,,,,,,,,,,, ,
County Total,"757,279","742,221","15,058","243,420","177,423","12,604","14,931","29,735","8,727","222,240",8.7%,3.34
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Luis Obispo County,,,,,,,,,,, ,
Arroyo Grande       ,"17,880","17,706",174,"7,803","5,317",643,362,886,595,"7,359",5.7%,2.41
Atascadero          ,"30,353","28,865","1,488","12,155","8,563",538,"1,078","1,443",533,"11,502",5.4%,2.51
El Paso De Robles   ,"31,204","30,935",269,"11,877","8,415",813,955,"1,400",294,"11,330",4.6%,2.73
Grover Beach        ,"13,617","13,428",189,"5,813","3,437",740,879,549,208,"5,300",8.8%,2.53
Morro Bay           ,"10,498","10,337",161,"6,455","4,616",374,449,528,488,"4,979",22.9%,2.08
Pismo Beach         ,"8,251","8,238",13,"5,797","3,381",618,524,514,760,"4,141",28.6%,1.99
San Luis Obispo     ,"46,741","45,559","1,182","21,273","9,821","1,391","2,717","5,861","1,483","19,933",6.3%,2.29
,,,,,,,,,,, ,
Balance Of County    ,"121,504","108,611","12,893","50,488","39,079","1,487","2,251","1,274","6,397","42,102",16.6%,2.58
Incorporated,"158,544","155,068","3,476","71,173","43,550","5,117","6,964","11,181","4,361","64,544",9.3%,2.40
 ,,,,,,,,,,, ,
County Total,"280,048","263,679","16,369","121,661","82,629","6,604","9,215","12,455","10,758","106,646",12.3%,2.47
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Mateo County,,,,,,,,,,, ,
Atherton            ,"7,042","6,657",385,"2,478","2,445",33,0,0,0,"2,271",8.4%,2.93
Belmont             ,"27,182","26,668",514,"11,082","6,435",660,333,"3,654",0,"10,651",3.9%,2.50
Brisbane            ,"4,689","4,673",16,"2,028","1,191",235,210,326,66,"1,909",5.9%,2.45
Burlingame          ,"30,345","29,896",449,"13,116","6,299",576,879,"5,349",13,"12,461",5.0%,2.40
Colma               ,"1,487","1,480",7,442,201,113,88,30,10,427,3.4%,3.47
Daly City           ,"108,927","108,246",681,"33,255","15,991","4,807","3,762","8,148",547,"32,047",3.6%,3.38
East Palo Alto      ,"30,478","30,324",154,"7,891","4,276",300,267,"2,900",148,"7,187",8.9%,4.22
Foster City         ,"33,094","32,954",140,"12,879","4,663","2,636",908,"4,672",0,"12,432",3.5%,2.65
Half Moon Bay       ,"12,558","12,540",18,"4,682","2,819",563,273,494,533,"4,402",6.0%,2.85
Hillsborough        ,"11,748","11,748",0,"4,050","3,915",123,12,0,0,"3,831",5.4%,3.07
Menlo Park          ,"35,802","34,997",805,"14,037","7,290","1,088","1,729","3,902",28,"13,252",5.6%,2.64
Millbrae            ,"23,168","22,853",315,"8,620","5,379",293,285,"2,630",33,"8,237",4.4%,2.77
Pacifica            ,"38,718","38,536",182,"14,502","10,360",952,811,"2,281",98,"13,891",4.2%,2.77
Portola Valley      ,"4,657","4,613",44,"1,917","1,555",0,38,324,0,"1,787",6.8%,2.58
Redwood City        ,"84,444","82,916","1,528","30,693","14,030","4,073","1,882","10,076",632,"29,451",4.0%,2.82
San Bruno           ,"45,255","44,857",398,"16,062","9,038",611,877,"5,536",0,"15,489",3.6%,2.90
San Carlos          ,"29,832","29,741",91,"12,079","8,347",537,563,"2,600",32,"11,575",4.2%,2.57
San Mateo           ,"104,497","103,181","1,316","41,250","18,326","4,118","2,578","16,172",56,"39,343",4.6%,2.62
South San Francisco ,"67,054","66,475",579,"22,019","13,120","2,808","1,340","4,420",331,"21,109",4.1%,3.15
Woodside            ,"5,628","5,628",0,"2,200","2,099",60,26,0,15,"2,013",8.5%,2.80
,,,,,,,,,,, ,
Balance Of County    ,"65,767","63,910","1,857","22,762","18,558",799,784,"1,993",628,"21,299",6.4%,3.00
Incorporated,"706,605","698,983","7,622","255,282","137,779","24,586","16,861","73,514","2,542","243,765",4.5%,2.87
 ,,,,,,,,,,, ,
County Total,"772,372","762,893","9,479","278,044","156,337","25,385","17,645","75,507","3,170","265,064",4.7%,2.88
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Santa Barbara County,,,,,,,,,,, ,
Buellton            ,"5,315","5,315",0,"1,989","1,243",152,14,176,404,"1,895",4.7%,2.81
Carpinteria         ,"13,762","13,743",19,"5,602","2,197",421,670,"1,466",848,"4,907",12.4%,2.80
Goleta,"32,179","31,894",285,"12,021","5,439","1,083","1,052","3,826",621,"11,446",4.8%,2.79
Guadalupe           ,"7,640","7,640",0,"1,985","1,392",186,215,183,9,"1,906",4.0%,4.01
Lompoc              ,"43,534","40,699","2,835","14,676","7,946",763,"2,120","2,867",980,"13,693",6.7%,2.97
Santa Barbara       ,"93,299","91,672","1,627","38,674","18,094","3,425","5,591","11,174",390,"36,583",5.4%,2.51
Santa Maria         ,"106,645","105,636","1,009","29,718","18,530","1,355","2,542","5,742","1,549","28,179",5.2%,3.75
Solvang             ,"5,849","5,794",55,"2,693","1,567",199,262,529,136,"2,371",12.0%,2.44
,,,,,,,,,,, ,
Balance Of County    ,"144,524","130,558","13,966","51,264","35,911","3,012","2,681","6,510","3,150","47,091",8.1%,2.77
Incorporated,"308,223","302,393","5,830","107,358","56,408","7,584","12,466","25,963","4,937","100,980",5.9%,2.99
 ,,,,,,,,,,, ,
County Total,"452,747","432,951","19,796","158,622","92,319","10,596","15,147","32,473","8,087","148,071",6.7%,2.92
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Santa Clara County,,,,,,,,,,, ,
Campbell            ,"42,767","42,566",201,"17,868","8,154","2,286","2,026","5,086",316,"16,961",5.1%,2.51
Cupertino           ,"59,988","59,651",337,"21,031","12,037","2,566","2,006","4,422",0,"20,044",4.7%,2.98
Gilroy              ,"55,252","54,446",806,"16,372","11,461",887,"1,709","1,998",317,"15,511",5.3%,3.51
Los Altos           ,"31,225","30,998",227,"11,669","9,453",561,245,"1,410",0,"11,178",4.2%,2.77
Los Altos Hills     ,"8,720","8,667",53,"3,143","3,089",13,0,14,27,"3,007",4.3%,2.88
Los Gatos           ,"30,995","30,645",350,"13,299","7,795","1,779","1,223","2,438",64,"12,570",5.5%,2.44
Milpitas            ,"74,980","72,412","2,568","21,643","12,025","3,445","1,468","4,286",419,"20,914",3.4%,3.46
Monte Sereno        ,"3,657","3,657",0,"1,330","1,288",23,0,19,0,"1,279",3.8%,2.86
Morgan Hill         ,"44,653","44,267",386,"14,722","8,841","2,474",820,"1,359","1,228","14,044",4.6%,3.15
Mountain View       ,"80,800","80,530",270,"35,841","10,582","4,378","3,075","16,740","1,066","33,650",6.1%,2.39
Palo Alto           ,"69,395","68,878",517,"29,189","16,517","1,231","1,891","9,451",99,"27,592",5.5%,2.50
San Jose            ,"1,042,900","1,028,963","13,937","335,164","176,798","32,321","23,277","91,809","10,959","320,864",4.3%,3.21
Santa Clara         ,"128,789","125,593","3,196","48,144","19,396","4,447","4,993","19,262",46,"46,033",4.4%,2.73
Saratoga            ,"31,397","31,198",199,"11,265","9,456",786,371,652,0,"10,869",3.5%,2.87
Sunnyvale           ,"153,944","153,095",849,"59,242","21,709","5,525","4,990","23,208","3,810","56,647",4.4%,2.70
,,,,,,,,,,, ,
Balance Of County    ,"88,336","81,458","6,878","28,048","21,678","1,066","1,115","3,620",569,"26,552",5.3%,3.07
Incorporated,"1,859,462","1,835,566","23,896","639,922","328,601","62,722","48,094","182,154","18,351","611,163",4.5%,3.00
 ,,,,,,,,,,, ,
County Total,"1,947,798","1,917,024","30,774","667,970","350,279","63,788","49,209","185,774","18,920","637,715",4.5%,3.01
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Santa Cruz County,,,,,,,,,,, ,
Capitola            ,"10,317","10,169",148,"5,543","1,652",605,"1,395","1,118",773,"4,690",15.4%,2.17
Santa Cruz          ,"65,784","54,262","11,522","23,748","13,163","2,587","2,608","5,041",349,"22,164",6.7%,2.45
Scotts Valley       ,"12,162","11,890",272,"4,696","2,583",574,393,381,765,"4,534",3.4%,2.62
Watsonville         ,"53,246","52,718",528,"14,163","7,395","1,299","1,659","2,680","1,130","13,714",3.2%,3.84
,,,,,,,,,,, ,
Balance Of County    ,"134,562","132,760","1,802","57,496","41,813","4,425","3,621","3,732","3,905","50,643",11.9%,2.62
Incorporated,"141,509","129,039","12,470","48,150","24,793","5,065","6,055","9,220","3,017","45,102",6.3%,2.86
 ,,,,,,,,,,, ,
County Total,"276,071","261,799","14,272","105,646","66,606","9,490","9,676","12,952","6,922","95,745",9.4%,2.73
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Shasta County,,,,,,,,,,, ,
Anderson            ,"10,327","10,315",12,"4,442","2,681",215,552,780,214,"4,170",6.1%,2.47
Redding             ,"91,958","89,673","2,285","39,679","25,419","1,697","4,659","5,384","2,520","37,499",5.5%,2.39
Shasta Lake         ,"10,121","10,104",17,"4,241","3,238",115,157,164,567,"3,991",5.9%,2.53
,,,,,,,,,,, ,
Balance Of County    ,"66,520","65,971",549,"30,383","23,277",713,450,485,"5,458","26,493",12.8%,2.49
Incorporated,"112,406","110,092","2,314","48,362","31,338","2,027","5,368","6,328","3,301","45,660",5.6%,2.41
 ,,,,,,,,,,, ,
County Total,"178,926","176,063","2,863","78,745","54,615","2,740","5,818","6,813","8,759","72,153",8.4%,2.44
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Sierra County,,,,,,,,,,, ,
Loyalton            ,746,715,31,366,348,3,0,0,15,314,14.2%,2.28
,,,,,,,,,,, ,
Balance Of County    ,"2,474","2,472",2,"1,979","1,761",30,33,73,82,"1,242",37.2%,1.99
Incorporated,746,715,31,366,348,3,0,0,15,314,14.2%,2.28
 ,,,,,,,,,,, ,
County Total,"3,220","3,187",33,"2,345","2,109",33,33,73,97,"1,556",33.6%,2.05
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Siskiyou County,,,,,,,,,,, ,
Dorris              ,903,903,0,416,321,2,16,0,77,359,13.7%,2.52
Dunsmuir            ,"1,584","1,584",0,"1,105",695,29,117,251,13,754,31.8%,2.10
Etna                ,721,715,6,361,287,0,9,13,52,325,10.0%,2.20
Fort Jones          ,693,693,0,348,243,11,34,2,58,306,12.1%,2.27
Montague            ,"1,423","1,405",18,632,404,7,58,63,100,587,7.1%,2.39
Mount Shasta        ,"3,287","3,251",36,"1,899","1,199",37,400,233,30,"1,660",12.6%,1.96
Tulelake            ,"1,007","1,007",0,437,298,2,42,18,77,357,18.3%,2.82
Weed                ,"2,764","2,592",172,"1,175",842,71,103,119,40,"1,070",8.9%,2.42
Yreka               ,"7,662","7,523",139,"3,701","2,265",159,449,656,172,"3,408",7.9%,2.21
,,,,,,,,,,, ,
Balance Of County    ,"24,561","24,360",201,"14,111","10,220",254,299,363,"2,975","11,092",21.4%,2.20
Incorporated,"20,044","19,673",371,"10,074","6,554",318,"1,228","1,355",619,"8,826",12.4%,2.23
 ,,,,,,,,,,, ,
County Total,"44,605","44,033",572,"24,185","16,774",572,"1,527","1,718","3,594","19,918",17.6%,2.21
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Solano County,,,,,,,,,,, ,
Benicia             ,"27,641","27,615",26,"11,341","7,482",848,"1,162","1,611",238,"10,663",6.0%,2.59
Dixon               ,"19,533","19,532",1,"6,468","4,953",269,416,782,48,"6,075",6.1%,3.22
Fairfield           ,"115,966","113,322","2,644","39,599","27,711","2,471","2,015","6,403",999,"37,124",6.3%,3.05
Rio Vista           ,"9,083","9,080",3,"4,692","4,144",203,25,141,179,"4,154",11.5%,2.19
Suisun City         ,"29,448","29,404",44,"9,549","7,956",249,382,778,184,"9,104",4.7%,3.23
Vacaville           ,"98,226","91,745","6,481","34,884","24,964","1,103","2,257","5,424","1,136","32,937",5.6%,2.79
Vallejo             ,"119,637","117,705","1,932","44,725","30,027","1,340","4,859","7,141","1,358","40,713",9.0%,2.89
,,,,,,,,,,, ,
Balance Of County    ,"19,568","19,385",183,"7,528","6,546",314,156,56,456,"6,801",9.7%,2.85
Incorporated,"419,534","408,403","11,131","151,258","107,237","6,483","11,116","22,280","4,142","140,770",6.9%,2.90
 ,,,,,,,,,,, ,
County Total,"439,102","427,788","11,314","158,786","113,783","6,797","11,272","22,336","4,598","147,571",7.1%,2.90
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Sonoma County,,,,,,,,,,, ,
Cloverdale          ,"9,141","9,053",88,"3,468","2,607",279,91,348,143,"3,240",6.6%,2.79
Cotati              ,"7,739","7,729",10,"3,180","1,461",586,452,556,125,"3,043",4.3%,2.54
Healdsburg          ,"12,232","12,177",55,"4,983","3,729",206,492,486,70,"4,565",8.4%,2.67
Petaluma            ,"62,251","61,527",724,"23,435","16,638","1,778","1,470","2,782",767,"22,416",4.3%,2.75
Rohnert Park        ,"43,178","43,135",43,"16,816","7,720","1,490","1,327","4,729","1,550","16,115",4.2%,2.68
Santa Rosa          ,"177,017","173,503","3,514","68,265","39,545","6,187","6,118","13,225","3,190","64,353",5.7%,2.70
Sebastopol          ,"7,808","7,679",129,"3,509","2,217",331,383,508,70,"3,326",5.2%,2.31
Sonoma              ,"11,423","11,186",237,"5,668","3,157",582,541,904,484,"5,105",9.9%,2.19
Windsor             ,"28,356","28,305",51,"9,703","7,594",580,175,720,634,"9,103",6.2%,3.11
,,,,,,,,,,, ,
Balance Of County    ,"143,721","138,254","5,467","64,552","52,726","2,602","2,550","2,262","4,412","53,822",16.6%,2.57
Incorporated,"359,145","354,294","4,851","139,027","84,668","12,019","11,049","24,258","7,033","131,266",5.6%,2.70
 ,,,,,,,,,,, ,
County Total,"502,866","492,548","10,318","203,579","137,394","14,621","13,599","26,520","11,445","185,088",9.1%,2.66
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Stanislaus County,,,,,,,,,,, ,
Ceres               ,"49,179","48,826",353,"13,811","10,498",716,656,"1,185",756,"12,771",7.5%,3.82
Hughson             ,"7,954","7,935",19,"2,426","2,068",22,42,233,61,"2,303",5.1%,3.45
Modesto             ,"213,374","210,350","3,024","75,953","52,841","3,236","7,864","9,882","2,130","68,106",10.3%,3.09
Newman              ,"11,497","11,431",66,"3,599","2,971",139,163,326,0,"3,140",12.8%,3.64
Oakdale             ,"23,413","23,226",187,"8,281","6,447",452,452,609,321,"7,673",7.3%,3.03
Patterson           ,"23,414","23,411",3,"6,557","5,785",178,160,301,133,"5,997",8.5%,3.90
Riverbank           ,"25,038","24,870",168,"7,300","6,214",250,160,380,296,"6,750",7.5%,3.68
Turlock             ,"73,979","72,718","1,261","24,920","17,298","1,563","1,651","3,783",625,"22,835",8.4%,3.18
Waterford           ,"9,051","9,028",23,"2,669","2,122",61,111,363,12,"2,444",8.4%,3.69
,,,,,,,,,,, ,
Balance Of County    ,"117,209","115,730","1,479","36,400","29,683",871,"1,134",430,"4,282","33,136",9.0%,3.49
Incorporated,"436,899","431,795","5,104","145,516","106,244","6,617","11,259","17,062","4,334","132,019",9.3%,3.27
 ,,,,,,,,,,, ,
County Total,"554,108","547,525","6,583","181,916","135,927","7,488","12,393","17,492","8,616","165,155",9.2%,3.32
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Sutter County,,,,,,,,,,, ,
Live Oak            ,"8,799","8,683",116,"2,694","1,930",241,132,284,107,"2,523",6.3%,3.44
Yuba City           ,"67,354","66,748",606,"23,690","15,639",930,"1,927","4,240",954,"22,216",6.2%,3.01
,,,,,,,,,,, ,
Balance Of County    ,"21,057","20,997",60,"7,979","6,932",275,158,154,460,"7,381",7.5%,2.85
Incorporated,"76,153","75,431",722,"26,384","17,569","1,171","2,059","4,524","1,061","24,739",6.2%,3.05
 ,,,,,,,,,,, ,
County Total,"97,210","96,428",782,"34,363","24,501","1,446","2,217","4,678","1,521","32,120",6.5%,3.00
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Tehama County,,,,,,,,,,, ,
Corning             ,"7,561","7,536",25,"2,867","1,807",45,298,598,119,"2,631",8.2%,2.86
Red Bluff           ,"14,187","13,735",452,"5,945","3,628",113,814,921,469,"5,489",7.7%,2.50
Tehama              ,410,410,0,196,150,13,12,11,10,164,16.3%,2.50
,,,,,,,,,,, ,
Balance Of County    ,"41,945","41,586",359,"18,628","12,163",280,260,204,"5,721","16,065",13.8%,2.59
Incorporated,"22,158","21,681",477,"9,008","5,585",171,"1,124","1,530",598,"8,284",8.0%,2.62
 ,,,,,,,,,,, ,
County Total,"64,103","63,267",836,"27,636","17,748",451,"1,384","1,734","6,319","24,349",11.9%,2.60
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Trinity County,,,,,,,,,,, ,
County Total,"13,650","13,273",377,"8,892","5,926",117,347,269,"2,233","6,193",30.4%,2.14
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Tulare County,,,,,,,,,,, ,
Dinuba              ,"24,918","24,756",162,"6,666","4,950",135,620,664,297,"6,379",4.3%,3.88
Exeter              ,"10,984","10,911",73,"3,667","2,835",212,295,162,163,"3,524",3.9%,3.10
Farmersville        ,"11,341","11,341",0,"2,821","2,268",110,204,159,80,"2,727",3.3%,4.16
Lindsay             ,"13,062","12,966",96,"3,468","2,358",150,279,538,143,"3,283",5.3%,3.95
Porterville         ,"60,241","59,366",875,"18,187","12,313","1,213","1,946","1,645","1,070","17,182",5.5%,3.46
Tulare              ,"65,503","65,225",278,"20,450","16,147",424,"1,920","1,347",612,"19,216",6.0%,3.39
Visalia             ,"136,403","135,028","1,375","47,475","36,049","1,474","5,228","3,120","1,604","44,481",6.3%,3.04
Woodlake            ,"7,793","7,793",0,"2,176","1,458",156,139,365,58,"2,065",5.1%,3.77
,,,,,,,,,,, ,
Balance Of County    ,"145,101","143,154","1,947","44,432","34,860",57,"1,722","1,187","6,606","38,881",12.5%,3.68
Incorporated,"330,245","327,386","2,859","104,910","78,378","3,874","10,631","8,000","4,027","98,857",5.8%,3.31
 ,,,,,,,,,,, ,
County Total,"475,346","470,540","4,806","149,342","113,238","3,931","12,353","9,187","10,633","137,738",7.8%,3.42
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Tuolumne County,,,,,,,,,,, ,
Sonora              ,"4,887","4,584",303,"2,470","1,411",87,354,595,23,"2,197",11.1%,2.09
,,,,,,,,,,, ,
Balance Of County    ,"49,834","46,587","3,247","29,103","23,729",207,882,840,"3,445","20,202",30.6%,2.31
Incorporated,"4,887","4,584",303,"2,470","1,411",87,354,595,23,"2,197",11.1%,2.09
 ,,,,,,,,,,, ,
County Total,"54,721","51,171","3,550","31,573","25,140",294,"1,236","1,435","3,468","22,399",29.1%,2.28
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Ventura County,,,,,,,,,,, ,
Camarillo           ,"68,452","68,041",411,"26,723","16,032","4,517","1,047","4,107","1,020","25,438",4.8%,2.68
Fillmore            ,"15,840","15,674",166,"4,598","3,391",232,350,239,386,"4,334",5.7%,3.62
Moorpark            ,"36,828","36,828",0,"11,346","8,303","1,518",205,"1,177",143,"11,074",2.4%,3.33
Ojai                ,"7,741","7,561",180,"3,443","2,378",320,430,315,0,"3,189",7.4%,2.37
Oxnard              ,"209,269","207,835","1,434","55,135","30,648","5,778","3,839","12,255","2,615","52,006",5.7%,4.00
Port Hueneme        ,"23,370","22,508",862,"8,276","2,690","2,371",953,"2,253",9,"7,566",8.6%,2.98
San Buenaventura    ,"110,125","108,204","1,921","44,031","24,640","4,819","3,285","8,914","2,373","41,559",5.6%,2.60
Santa Paula         ,"30,931","30,798",133,"9,004","5,220",716,903,"1,325",840,"8,695",3.4%,3.54
Simi Valley         ,"127,421","126,761",660,"43,019","31,276","3,339","2,038","5,605",761,"41,759",2.9%,3.04
Thousand Oaks       ,"130,283","128,541","1,742","48,081","32,523","5,397","1,925","7,033","1,203","46,554",3.2%,2.76
,,,,,,,,,,, ,
Balance Of County    ,"97,155","93,215","3,940","34,923","27,952","2,274",972,"1,726","1,999","31,818",8.9%,2.93
Incorporated,"760,260","752,751","7,509","253,656","157,101","29,007","14,975","43,223","9,350","242,174",4.5%,3.11
 ,,,,,,,,,,, ,
County Total,"857,415","845,966","11,449","288,579","185,053","31,281","15,947","44,949","11,349","273,992",5.1%,3.09
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Yolo County,,,,,,,,,,, ,
Davis               ,"68,999","67,532","1,467","26,596","12,581","2,397","3,183","7,948",487,"25,519",4.0%,2.65
West Sacramento     ,"53,693","53,355",338,"19,941","12,365","1,015","1,263","3,788","1,510","18,532",7.1%,2.88
Winters             ,"7,427","7,421",6,"2,452","1,794",111,183,276,88,"2,365",3.5%,3.14
Woodland            ,"60,178","59,282",896,"20,701","13,358","1,135","1,673","3,997",538,"19,661",5.0%,3.02
,,,,,,,,,,, ,
Balance Of County    ,"30,878","20,647","10,231","7,448","5,883",201,275,164,925,"7,057",5.2%,2.93
Incorporated,"190,297","187,590","2,707","69,690","40,098","4,658","6,302","16,009","2,623","66,077",5.2%,2.84
 ,,,,,,,,,,, ,
County Total,"221,175","208,237","12,938","77,138","45,981","4,859","6,577","16,173","3,548","73,134",5.2%,2.85
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Yuba County,,,,,,,,,,, ,
Marysville          ,"12,581","11,978",603,"5,211","3,164",110,901,981,55,"4,795",8.0%,2.50
Wheatland           ,"3,692","3,692",0,"1,339",968,25,248,63,35,"1,274",4.9%,2.90
,,,,,,,,,,, ,
Balance Of County    ,"60,929","60,389",540,"21,774","15,718",410,"1,520","1,305","2,821","19,363",11.1%,3.12
Incorporated,"16,273","15,670",603,"6,550","4,132",135,"1,149","1,044",90,"6,069",7.3%,2.58
 ,,,,,,,,,,, ,
County Total,"77,202","76,059","1,143","28,324","19,850",545,"2,669","2,349","2,911","25,432",10.2%,2.99
,,,,,,,,,,, ,
,,,,,,,,,,, ,
California,,,,,,,,,,, ,
Incorporated Total,"33,146,152","32,472,239","673,913","11,688,166","6,319,785","889,368","1,019,281","3,132,484","327,248","10,863,025",7.1%,2.99
Balance Of State Total,"6,594,356","6,419,097","175,259","2,469,439","1,841,077","96,558","110,480","186,567","234,757","2,148,584",13.0%,2.99
 ,,,,,,,,,,, ,
State Total,"39,740,508","38,891,336","849,172","14,157,605","8,160,862","985,926","1,129,761","3,319,051","562,005","13,011,609",8.1%,2.99
