"E-8 City/County/State Population and Housing Estimates, 4/1/2000 to 4/1/2010",,,,,,,,,,,,
,,POPULATION,,, HOUSING UNITS,,,,,,,
,1/1/2002,"16,765","16,601",164,"7,038","3,934","2,552",552,"5,787","1,251",17.77%,2.869
,1/1/2003,"17,070","16,911",159,"7,124","3,992","2,579",553,"5,815","1,309",18.37%,2.908
,1/1/2004,"18,925","18,772",153,"7,883","4,734","2,605",544,"6,404","1,479",18.76%,2.931
,1/1/2005,"20,294","20,147",147,"8,501","5,298","2,638",565,"6,876","1,625",19.12%,2.930
,1/1/2006,"22,805","22,663",142,"9,652","6,302","2,744",606,"7,792","1,860",19.27%,2.908
,1/1/2007,"24,124","23,988",136,"10,311","6,895","2,801",615,"8,298","2,013",19.52%,2.891
,1/1/2008,"25,115","24,984",131,"10,774","7,272","2,895",607,"8,640","2,134",19.81%,2.892
,1/1/2009,"25,690","25,565",125,"10,904","7,349","2,957",598,"8,705","2,199",20.17%,2.937
,1/1/2010,"25,886","25,767",119,"10,905","7,332","2,985",588,"8,663","2,242",20.56%,2.974
,4/1/2010,"25,938","25,820",118,"10,902","7,324","2,992",586,"8,650","2,252",20.66%,2.985
,,,,,,,,,,,,
Riverside,4/1/2000,"58,812","57,133","1,679","29,401","13,606","6,551","9,244","25,252","4,149",14.11%,2.263
Hemet,1/1/2001,"60,626","59,027","1,599","29,668","13,855","6,571","9,242","25,665","4,003",13.49%,2.300
,1/1/2002,"63,065","61,572","1,493","30,222","14,316","6,667","9,239","26,250","3,972",13.14%,2.346
,1/1/2003,"64,482","63,096","1,386","30,414","14,477","6,701","9,236","26,342","4,072",13.39%,2.395
,1/1/2004,"66,751","65,471","1,280","31,080","15,109","6,727","9,244","26,849","4,231",13.61%,2.438
,1/1/2005,"68,943","67,770","1,173","32,040","15,828","6,753","9,459","27,633","4,407",13.75%,2.453
,1/1/2006,"72,298","71,231","1,067","33,627","17,128","6,828","9,671","28,945","4,682",13.92%,2.461
,1/1/2007,"74,434","73,474",960,"34,744","18,079","6,906","9,759","29,846","4,898",14.10%,2.462
,1/1/2008,"75,383","74,529",854,"35,065","18,375","6,933","9,757","30,052","5,013",14.30%,2.480
,1/1/2009,"76,961","76,214",747,"35,192","18,437","6,959","9,796","30,087","5,105",14.51%,2.533
,1/1/2010,"78,295","77,654",641,"35,294","18,486","6,985","9,823","30,101","5,193",14.71%,2.580
,4/1/2010,"78,657","78,043",614,"35,305","18,489","6,991","9,825","30,092","5,213",14.77%,2.593
,,,,,,,,,,,,
Riverside,4/1/2000,"3,816","3,816",0,"3,843","3,254",581,8,"1,982","1,861",48.43%,1.925
Indian Wells,1/1/2001,"4,123","4,123",0,"4,144","3,562",575,7,"2,144","2,000",48.26%,1.923
,1/1/2002,"4,323","4,322",1,"4,339","3,764",568,7,"2,254","2,085",48.05%,1.917
,1/1/2003,"4,376","4,374",2,"4,385","3,819",560,6,"2,288","2,097",47.82%,1.912
,1/1/2004,"4,413","4,411",2,"4,430","3,872",553,5,"2,321","2,109",47.61%,1.900
,1/1/2005,"4,681","4,678",3,"4,738","4,061",673,4,"2,489","2,249",47.47%,1.879
,1/1/2006,"4,746","4,743",3,"4,871","4,203",665,3,"2,567","2,304",47.30%,1.848
,1/1/2007,"4,779","4,775",4,"4,973","4,313",657,3,"2,629","2,344",47.13%,1.816
,1/1/2008,"4,826","4,821",5,"5,059","4,407",650,2,"2,683","2,376",46.97%,1.797
,1/1/2009,"4,910","4,905",5,"5,112","4,468",643,1,"2,720","2,392",46.79%,1.803
,1/1/2010,"4,947","4,941",6,"5,133","4,498",635,0,"2,740","2,393",46.62%,1.803
,4/1/2010,"4,958","4,952",6,"5,137","4,504",633,0,"2,745","2,392",46.56%,1.804
,,,,,,,,,,,,
Riverside,4/1/2000,"49,116","48,260",856,"16,909","8,540","5,199","3,170","13,871","3,038",17.97%,3.479
Indio,1/1/2001,"49,681","48,818",863,"17,244","8,856","5,230","3,158","14,117","3,127",18.13%,3.458
,1/1/2002,"50,815","49,943",872,"17,840","9,430","5,269","3,141","14,567","3,273",18.35%,3.429
,1/1/2003,"52,551","51,669",882,"18,621","10,186","5,310","3,125","15,169","3,452",18.54%,3.406
,1/1/2004,"56,655","55,764",891,"20,273","11,787","5,378","3,108","16,485","3,788",18.68%,3.383
,1/1/2005,"62,024","61,124",900,"22,516","14,003","5,417","3,096","18,287","4,229",18.78%,3.342
,1/1/2006,"66,670","65,761",909,"24,648","16,035","5,527","3,086","19,997","4,651",18.87%,3.289
,1/1/2007,"70,948","70,029",919,"26,833","18,154","5,609","3,070","21,642","5,191",19.35%,3.236
,1/1/2008,"74,007","73,079",928,"28,167","19,375","5,692","3,100","22,805","5,362",19.04%,3.205
,1/1/2009,"74,590","73,653",937,"28,377","19,560","5,733","3,084","22,938","5,439",19.17%,3.211
,1/1/2010,"75,263","74,316",947,"28,699","19,858","5,773","3,068","23,164","5,535",19.29%,3.208
,4/1/2010,"76,036","75,087",949,"28,971","20,124","5,783","3,064","23,378","5,593",19.31%,3.212
,,,,,,,,,,,,
Riverside,4/1/2000,"28,930","28,857",73,"9,506","6,921","1,834",751,"8,818",688,7.24%,3.273
Lake Elsinore,1/1/2001,"29,999","29,899",100,"9,763","7,166","1,846",751,"9,037",726,7.44%,3.309
,1/1/2002,"31,224","31,088",136,"10,049","7,440","1,863",746,"9,275",774,7.70%,3.352
,1/1/2003,"33,456","33,284",172,"10,648","8,023","1,880",745,"9,804",844,7.93%,3.395
,1/1/2004,"35,993","35,785",208,"11,379","8,731","1,896",752,"10,455",924,8.12%,3.423
,1/1/2005,"38,271","38,027",244,"12,133","9,476","1,909",748,"11,130","1,003",8.27%,3.417
,1/1/2006,"41,239","40,960",279,"13,169","10,465","1,958",746,"12,063","1,106",8.40%,3.396
,1/1/2007,"47,705","47,390",315,"15,507","12,180","2,582",745,"14,066","1,441",9.29%,3.369
,1/1/2008,"49,747","49,396",351,"16,048","12,663","2,645",740,"14,658","1,390",8.66%,3.370
,1/1/2009,"50,616","50,229",387,"16,103","12,713","2,656",734,"14,682","1,421",8.82%,3.421
,1/1/2010,"51,448","51,025",423,"16,191","12,779","2,684",728,"14,737","1,454",8.98%,3.462
,4/1/2010,"51,821","51,389",432,"16,253","12,838","2,688",727,"14,788","1,465",9.01%,3.475
,,,,,,,,,,,,
Riverside,4/1/2000,"23,694","23,654",40,"11,812","10,788",765,259,"8,445","3,367",28.50%,2.801
La Quinta,1/1/2001,"25,459","25,418",41,"13,010","11,973",780,257,"9,153","3,857",29.65%,2.777
,1/1/2002,"27,469","27,426",43,"14,434","13,185",995,254,"9,975","4,459",30.89%,2.749
,1/1/2003,"28,642","28,597",45,"15,421","14,162","1,007",252,"10,483","4,938",32.02%,2.728
,1/1/2004,"30,110","30,064",46,"16,601","15,207","1,145",249,"11,129","5,472",32.96%,2.701
,1/1/2005,"32,558","32,510",48,"18,384","16,692","1,445",247,"12,206","6,178",33.61%,2.663
,1/1/2006,"33,987","33,937",50,"19,772","17,980","1,550",242,"13,002","6,770",34.24%,2.610
,1/1/2007,"35,792","35,741",51,"21,362","19,401","1,722",239,"13,941","7,421",34.74%,2.564
,1/1/2008,"36,744","36,691",53,"22,420","20,106","2,077",237,"14,500","7,920",35.33%,2.530
,1/1/2009,"37,116","37,061",55,"22,888","20,558","2,096",234,"14,638","8,250",36.05%,2.532
,1/1/2010,"37,044","36,987",57,"23,204","20,856","2,116",232,"14,666","8,538",36.80%,2.522
,4/1/2010,"37,467","37,410",57,"23,489","20,919","2,339",231,"14,820","8,669",36.91%,2.524
,,,,,,,,,,,,
Riverside,4/1/2000,0,0,0,0,0,0,0,0,0,0.00%,0.000
Menifee,1/1/2001,0,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/2002,0,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/2003,0,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/2004,0,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/2005,0,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/2006,0,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/2007,0,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/2008,0,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/2009,"75,707","75,483",224,"29,921","26,022","1,169","2,730","27,202","2,719",9.09%,2.775
,1/1/2010,"77,902","77,707",195,"30,253","26,461","1,191","2,601","27,459","2,794",9.24%,2.830
,4/1/2010,"77,519","77,331",188,"30,269","26,504","1,196","2,569","27,461","2,808",9.28%,2.816
,,,,,,,,,,,,
Riverside,4/1/2000,"142,379","141,682",697,"41,430","35,459","4,929","1,042","39,224","2,206",5.32%,3.612
Moreno Valley,1/1/2001,"144,312","143,626",686,"41,722","35,770","4,885","1,067","39,453","2,269",5.44%,3.640
,1/1/2002,"147,533","146,861",672,"42,353","36,428","4,826","1,099","39,986","2,367",5.59%,3.673
,1/1/2003,"152,355","151,697",658,"43,487","37,588","4,768","1,131","41,006","2,481",5.71%,3.699
,1/1/2004,"158,634","157,991",643,"45,119","39,247","4,709","1,163","42,488","2,631",5.83%,3.718
,1/1/2005,"167,262","166,633",629,"47,782","41,618","4,969","1,195","44,947","2,835",5.93%,3.707
,1/1/2006,"176,830","176,215",615,"50,981","43,307","6,446","1,228","47,913","3,068",6.02%,3.678
,1/1/2007,"182,330","181,730",600,"53,130","44,386","7,484","1,260","49,782","3,348",6.30%,3.651
,1/1/2008,"185,513","184,927",586,"54,494","45,198","8,004","1,292","50,731","3,763",6.91%,3.645
,1/1/2009,"189,690","189,118",572,"55,104","45,586","8,194","1,324","51,241","3,863",7.01%,3.691
,1/1/2010,"192,599","192,041",558,"55,492","45,895","8,241","1,356","51,544","3,948",7.11%,3.726
,4/1/2010,"193,365","192,811",554,"55,559","45,969","8,226","1,364","51,592","3,967",7.14%,3.737
,,,,,,,,,,,,
Riverside,4/1/2000,"44,282","44,096",186,"14,921","12,712","1,669",540,"14,320",601,4.03%,3.079
Murrieta,1/1/2001,"46,464","46,295",169,"15,574","13,508","1,529",537,"14,880",694,4.46%,3.111
,1/1/2002,"52,060","51,914",146,"17,349","14,944","1,873",532,"16,495",854,4.92%,3.147
,1/1/2003,"68,639","68,043",596,"23,363","18,667","3,034","1,662","22,018","1,345",5.76%,3.090
,1/1/2004,"79,185","78,612",573,"26,884","21,477","3,734","1,673","25,285","1,599",5.95%,3.109
,1/1/2005,"85,769","85,219",550,"29,263","23,146","4,425","1,692","27,464","1,799",6.15%,3.103
,1/1/2006,"93,701","93,174",527,"32,277","25,587","5,002","1,688","30,249","2,028",6.28%,3.080
,1/1/2007,"97,747","97,243",504,"33,972","26,920","5,369","1,683","31,776","2,196",6.46%,3.060
,1/1/2008,"100,476","99,995",481,"35,022","27,301","6,042","1,679","32,688","2,334",6.66%,3.059
,1/1/2009,"101,998","101,540",458,"35,167","27,621","5,879","1,667","32,738","2,429",6.91%,3.102
,1/1/2010,"103,066","102,631",435,"35,254","27,907","5,686","1,661","32,733","2,521",7.15%,3.135
,4/1/2010,"103,466","103,037",429,"35,294","27,980","5,654","1,660","32,749","2,545",7.21%,3.146
,,,,,,,,,,,,
Riverside,4/1/2000,"24,157","19,330","4,827","6,277","6,040",146,91,"6,136",141,2.25%,3.150
Norco,1/1/2001,"24,408","19,586","4,822","6,332","6,097",149,86,"6,180",152,2.40%,3.169
,1/1/2002,"24,882","20,239","4,643","6,509","6,276",154,79,"6,339",170,2.61%,3.193
,1/1/2003,"25,321","20,650","4,671","6,603","6,333",199,71,"6,417",186,2.82%,3.218
,1/1/2004,"25,624","20,975","4,649","6,693","6,426",203,64,"6,492",201,3.00%,3.231
,1/1/2005,"26,532","21,858","4,674","7,016","6,751",208,57,"6,795",221,3.15%,3.217
,1/1/2006,"27,045","22,302","4,743","7,238","6,974",213,51,"6,998",240,3.32%,3.187
,1/1/2007,"27,017","22,209","4,808","7,284","7,023",217,44,"7,029",255,3.50%,3.160
,1/1/2008,"26,812","22,141","4,671","7,294","7,035",222,37,"7,026",268,3.67%,3.151
,1/1/2009,"26,852","22,410","4,442","7,310","7,052",227,31,"7,028",282,3.86%,3.189
,1/1/2010,"27,069","22,597","4,472","7,320","7,064",232,24,"7,024",296,4.04%,3.217
,4/1/2010,"27,063","22,666","4,397","7,322","7,067",233,22,"7,023",299,4.08%,3.227
,,,,,,,,,,,,
Riverside,4/1/2000,"41,155","40,928",227,"28,021","20,634","6,190","1,197","19,184","8,837",31.54%,2.133
Palm Desert,1/1/2001,"41,685","41,464",221,"28,563","21,145","6,191","1,227","19,369","9,194",32.19%,2.141
,1/1/2002,"42,279","42,065",214,"29,241","21,666","6,308","1,267","19,587","9,654",33.02%,2.148
,1/1/2003,"43,204","42,998",206,"30,117","22,093","6,718","1,306","19,940","10,177",33.79%,2.156
,1/1/2004,"43,899","43,700",199,"30,949","22,540","7,064","1,345","20,262","10,687",34.53%,2.157
,1/1/2005,"47,422","47,074",348,"33,912","23,398","7,076","3,438","22,240","11,672",34.42%,2.117
,1/1/2006,"47,270","46,930",340,"34,596","23,907","7,198","3,491","22,464","12,132",35.07%,2.089
,1/1/2007,"46,867","46,534",333,"35,100","24,302","7,224","3,574","22,564","12,536",35.72%,2.062
,1/1/2008,"47,453","47,128",325,"36,079","24,800","7,666","3,613","22,991","13,088",36.28%,2.050
,1/1/2009,"47,993","47,675",318,"36,541","25,131","7,755","3,655","23,061","13,480",36.89%,2.067
,1/1/2010,"48,215","47,905",310,"36,890","25,434","7,762","3,694","23,053","13,837",37.51%,2.078
,4/1/2010,"48,445","48,137",308,"37,073","25,487","7,882","3,704","23,117","13,956",37.64%,2.082
,,,,,,,,,,,,
Riverside,4/1/2000,"42,805","42,109",696,"30,822","16,271","12,316","2,235","20,515","10,307",33.44%,2.053
Palm Springs,1/1/2001,"43,025","42,341",684,"31,040","16,562","12,249","2,229","20,629","10,411",33.54%,2.052
,1/1/2002,"43,179","42,510",669,"31,269","16,871","12,177","2,221","20,741","10,528",33.67%,2.050
,1/1/2003,"43,358","42,705",653,"31,497","17,196","12,088","2,213","20,850","10,647",33.80%,2.048
,1/1/2004,"43,441","42,804",637,"31,779","17,549","12,025","2,205","20,997","10,782",33.93%,2.039
,1/1/2005,"43,963","43,342",621,"32,625","18,487","11,941","2,197","21,521","11,104",34.04%,2.014
,1/1/2006,"44,308","43,702",606,"33,515","19,403","11,925","2,187","22,072","11,443",34.14%,1.980
,1/1/2007,"44,154","43,564",590,"34,042","20,008","11,857","2,177","22,381","11,661",34.25%,1.946
,1/1/2008,"44,026","43,452",574,"34,388","20,439","11,783","2,166","22,569","11,819",34.37%,1.925
,1/1/2009,"44,346","43,787",559,"34,584","20,734","11,693","2,157","22,659","11,925",34.48%,1.932
,1/1/2010,"44,480","43,937",543,"34,747","21,003","11,595","2,149","22,725","12,022",34.60%,1.933
,4/1/2010,"44,552","44,013",539,"34,794","21,075","11,572","2,147","22,746","12,048",34.63%,1.935
,,,,,,,,,,,,
Riverside,4/1/2000,"36,189","35,957",232,"10,553","7,370","1,485","1,698","9,652",901,8.54%,3.725
Perris,1/1/2001,"37,785","37,552",233,"10,824","7,529","1,610","1,685","9,899",925,8.55%,3.794
,1/1/2002,"39,844","39,611",233,"11,180","7,767","1,741","1,672","10,223",957,8.56%,3.875
,1/1/2003,"42,045","41,811",234,"11,568","8,114","1,800","1,654","10,576",992,8.58%,3.953
,1/1/2004,"46,634","46,399",235,"12,677","9,164","1,861","1,652","11,590","1,087",8.57%,4.003
,1/1/2005,"50,650","50,414",236,"13,721","10,145","1,921","1,655","12,543","1,178",8.59%,4.019
,1/1/2006,"54,439","54,202",237,"14,773","11,104","1,981","1,688","13,505","1,268",8.58%,4.013
,1/1/2007,"59,014","58,777",237,"16,056","12,303","2,042","1,711","14,676","1,380",8.59%,4.005
,1/1/2008,"63,041","62,803",238,"17,102","13,308","2,101","1,693","15,632","1,470",8.60%,4.018
,1/1/2009,"65,422","65,183",239,"17,449","13,602","2,162","1,685","15,948","1,501",8.60%,4.087
,1/1/2010,"67,607","67,367",240,"17,776","13,885","2,222","1,669","16,246","1,530",8.61%,4.147
,4/1/2010,"68,386","68,146",240,"17,906","14,004","2,237","1,665","16,365","1,541",8.61%,4.164
,,,,,,,,,,,,
Riverside,4/1/2000,"13,249","13,112",137,"11,816","8,056","1,761","1,999","6,813","5,003",42.34%,1.925
Rancho Mirage,1/1/2001,"13,798","13,539",259,"12,056","8,342","1,799","1,915","6,997","5,059",41.96%,1.935
,1/1/2002,"14,349","14,055",294,"12,340","8,784","1,765","1,791","7,224","5,116",41.46%,1.946
,1/1/2003,"15,044","14,727",317,"12,745","9,349","1,721","1,675","7,521","5,224",40.99%,1.958
,1/1/2004,"15,653","15,349",304,"13,149","9,895","1,688","1,566","7,820","5,329",40.53%,1.963
,1/1/2005,"16,353","16,047",306,"13,720","10,611","1,655","1,454","8,220","5,500",40.09%,1.952
,1/1/2006,"16,592","16,360",232,"14,032","11,067","1,622","1,343","8,466","5,566",39.67%,1.932
,1/1/2007,"16,779","16,540",239,"14,228","11,404","1,590","1,234","8,642","5,586",39.26%,1.914
,1/1/2008,"16,815","16,623",192,"14,258","11,577","1,556","1,125","8,720","5,538",38.84%,1.906
,1/1/2009,"17,037","16,918",119,"14,276","11,739","1,524","1,013","8,789","5,487",38.44%,1.925
,1/1/2010,"17,165","17,090",75,"14,229","11,838","1,491",900,"8,818","5,411",38.03%,1.938
,4/1/2010,"17,218","17,154",64,"14,243","11,865","1,483",895,"8,829","5,414",38.01%,1.943
,,,,,,,,,,,,
Riverside,4/1/2000,"255,166","247,368","7,798","85,974","58,669","24,924","2,381","82,005","3,969",4.62%,3.016
Riverside,1/1/2001,"261,464","253,244","8,220","87,354","59,314","25,679","2,361","83,167","4,187",4.79%,3.045
,1/1/2002,"269,746","261,011","8,735","89,264","60,580","26,350","2,334","84,785","4,479",5.02%,3.079
,1/1/2003,"275,867","266,665","9,202","90,367","61,767","26,265","2,335","85,632","4,735",5.24%,3.114
,1/1/2004,"279,829","270,362","9,467","91,153","62,644","26,179","2,330","86,177","4,976",5.46%,3.137
,1/1/2005,"284,715","275,426","9,289","93,203","63,260","27,640","2,303","87,957","5,246",5.63%,3.131
,1/1/2006,"286,720","277,670","9,050","94,719","64,612","27,785","2,322","89,198","5,521",5.83%,3.113
,1/1/2007,"289,674","280,264","9,410","96,363","66,048","28,020","2,295","90,565","5,798",6.02%,3.095
,1/1/2008,"293,988","284,809","9,179","98,306","66,899","29,139","2,268","92,256","6,050",6.15%,3.087
,1/1/2009,"298,721","289,219","9,502","98,579","67,248","29,070","2,261","92,313","6,266",6.36%,3.133
,1/1/2010,"302,597","293,083","9,514","99,016","67,428","29,354","2,234","92,529","6,487",6.55%,3.167
,4/1/2010,"303,871","292,322","11,549","98,444","67,351","28,866","2,227","91,932","6,512",6.61%,3.180
,,,,,,,,,,,,
Riverside,4/1/2000,"23,779","23,589",190,"9,476","5,670","1,217","2,589","8,314","1,162",12.26%,2.837
San Jacinto,1/1/2001,"25,094","24,901",193,"9,765","5,919","1,216","2,630","8,569","1,196",12.25%,2.906
,1/1/2002,"26,602","26,405",197,"10,062","6,209","1,208","2,645","8,832","1,230",12.22%,2.990
,1/1/2003,"28,223","28,023",200,"10,393","6,528","1,204","2,661","9,125","1,268",12.20%,3.071
,1/1/2004,"29,734","29,530",204,"10,719","6,844","1,198","2,677","9,413","1,306",12.18%,3.137
,1/1/2005,"31,811","31,603",208,"11,353","7,468","1,193","2,692","9,971","1,382",12.17%,3.169
,1/1/2006,"35,131","34,919",212,"12,541","8,636","1,189","2,716","11,015","1,526",12.17%,3.170
,1/1/2007,"38,963","38,747",216,"14,032","10,091","1,188","2,753","12,246","1,786",12.73%,3.164
,1/1/2008,"40,877","40,658",219,"14,518","10,551","1,189","2,778","12,744","1,774",12.22%,3.190
,1/1/2009,"42,652","42,429",223,"14,829","10,762","1,270","2,797","13,019","1,810",12.21%,3.259
,1/1/2010,"43,881","43,654",227,"14,957","10,881","1,264","2,812","13,133","1,824",12.19%,3.324
,4/1/2010,"44,199","43,971",228,"14,977","10,898","1,263","2,816","13,152","1,825",12.19%,3.343
,,,,,,,,,,,,
Riverside,4/1/2000,"57,716","57,694",22,"19,099","14,926","3,852",321,"18,293",806,4.22%,3.154
Temecula,1/1/2001,"61,230","61,200",30,"20,272","15,766","4,197",309,"19,359",913,4.50%,3.161
,1/1/2002,"71,936","71,895",41,"23,612","18,903","4,416",293,"22,480","1,132",4.79%,3.198
,1/1/2003,"74,157","74,106",51,"24,323","19,656","4,390",277,"23,085","1,238",5.09%,3.210
,1/1/2004,"76,407","76,345",62,"25,132","20,506","4,365",261,"23,783","1,349",5.37%,3.210
,1/1/2005,"78,808","78,735",73,"26,194","21,544","4,405",245,"24,726","1,468",5.60%,3.184
,1/1/2006,"90,120","90,036",84,"30,309","25,316","4,765",228,"28,568","1,741",5.74%,3.152
,1/1/2007,"93,122","93,028",94,"31,736","26,295","5,229",212,"29,858","1,878",5.92%,3.116
,1/1/2008,"95,332","95,227",105,"32,727","27,082","5,449",196,"30,730","1,997",6.10%,3.099
,1/1/2009,"97,741","97,625",116,"33,318","27,599","5,539",180,"31,219","2,099",6.30%,3.127
,1/1/2010,"99,757","99,631",126,"33,940","28,000","5,776",164,"31,739","2,201",6.48%,3.139
,4/1/2010,"100,097","99,968",129,"34,004","28,074","5,770",160,"31,781","2,223",6.54%,3.146
,,,,,,,,,,,,
Riverside,4/1/2000,0,0,0,0,0,0,0,0,0,0.00%,0.000
Wildomar,1/1/2001,0,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/2002,0,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/2003,0,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/2004,0,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/2005,0,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/2006,0,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/2007,0,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/2008,0,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/2009,"31,732","31,686",46,"10,671","7,344",539,"2,788","9,893",778,7.29%,3.203
,1/1/2010,"32,393","32,350",43,"10,783","7,426",518,"2,839","9,976",807,7.48%,3.243
,4/1/2010,"32,176","32,134",42,"10,806","7,441",513,"2,852","9,992",814,7.53%,3.216
,,,,,,,,,,,,
Riverside,4/1/2000,"1,124,666","1,096,897","27,769","425,288","294,867","94,242","36,179","368,889","56,399",13.26%,2.974
Incorporated,1/1/2001,"1,156,067","1,127,727","28,340","434,820","303,196","95,521","36,103","376,484","58,336",13.42%,2.995
,1/1/2002,"1,205,848","1,177,095","28,753","450,337","316,936","97,437","35,964","389,326","61,011",13.55%,3.023
,1/1/2003,"1,260,263","1,230,612","29,651","467,635","331,014","99,626","36,995","403,539","64,096",13.71%,3.050
,1/1/2004,"1,316,816","1,286,225","30,591","486,645","348,424","100,918","37,303","419,189","67,456",13.86%,3.068
,1/1/2005,"1,372,377","1,342,154","30,223","510,963","367,045","104,386","39,532","438,972","71,991",14.09%,3.057
,1/1/2006,"1,436,006","1,405,786","30,220","538,595","391,105","107,680","39,810","462,410","76,185",14.15%,3.040
,1/1/2007,"1,485,437","1,454,459","30,978","561,873","410,893","111,060","39,920","481,237","80,636",14.35%,3.022
,1/1/2008,"1,516,957","1,487,505","29,452","576,295","421,495","114,976","39,824","492,897","83,398",14.47%,3.018
,1/1/2009,"1,651,606","1,622,344","29,262","621,659","459,309","117,091","45,259","532,985","88,674",14.26%,3.044
,1/1/2010,"1,678,312","1,648,711","29,601","626,713","463,959","117,710","45,044","536,292","90,421",14.43%,3.074
,4/1/2010,"1,685,249","1,653,798","31,451","627,564","465,006","117,549","45,009","536,608","90,956",14.49%,3.082
,,,,,,,,,,,,
Riverside,4/1/2000,"420,721","414,137","6,584","159,386","103,885","8,792","46,709","137,329","22,057",13.84%,3.016
Balance of County,1/1/2001,"433,641","427,093","6,548","161,906","106,563","9,066","46,277","139,735","22,171",13.69%,3.056
,1/1/2002,"449,443","442,991","6,452","165,612","110,690","9,227","45,695","143,059","22,553",13.62%,3.097
,1/1/2003,"469,956","463,988","5,968","170,217","117,141","9,077","43,999","147,179","23,038",13.53%,3.153
,1/1/2004,"497,669","492,194","5,475","178,339","125,987","9,260","43,092","154,459","23,880",13.39%,3.187
,1/1/2005,"523,318","518,056","5,262","185,463","135,065","9,935","40,463","161,132","24,331",13.12%,3.215
,1/1/2006,"539,907","534,699","5,208","191,680","140,584","10,234","40,862","166,801","24,879",12.98%,3.206
,1/1/2007,"564,465","559,316","5,149","201,484","149,532","10,863","41,089","175,044","26,440",13.12%,3.195
,1/1/2008,"585,784","580,692","5,092","207,745","155,483","11,451","40,811","181,219","26,526",12.77%,3.204
,1/1/2009,"489,020","484,533","4,487","171,067","126,643","10,168","34,256","147,521","23,546",13.76%,3.285
,1/1/2010,"501,380","496,985","4,395","172,850","128,588","10,422","33,840","149,329","23,521",13.61%,3.328
,4/1/2010,"504,392","500,014","4,378","173,143","128,987","10,437","33,719","149,652","23,491",13.57%,3.341
,,,,,,,,,,,,
Riverside,4/1/2000,"1,545,387","1,511,034","34,353","584,674","398,752","103,034","82,888","506,218","78,456",13.42%,2.985
County Total,1/1/2001,"1,589,708","1,554,820","34,888","596,726","409,759","104,587","82,380","516,219","80,507",13.49%,3.012
,1/1/2002,"1,655,291","1,620,086","35,205","615,949","427,626","106,664","81,659","532,385","83,564",13.57%,3.043
,1/1/2003,"1,730,219","1,694,600","35,619","637,852","448,155","108,703","80,994","550,718","87,134",13.66%,3.077
,1/1/2004,"1,814,485","1,778,419","36,066","664,984","474,411","110,178","80,395","573,648","91,336",13.74%,3.100
,1/1/2005,"1,895,695","1,860,210","35,485","696,426","502,110","114,321","79,995","600,104","96,322",13.83%,3.100
,1/1/2006,"1,975,913","1,940,485","35,428","730,275","531,689","117,914","80,672","629,211","101,064",13.84%,3.084
,1/1/2007,"2,049,902","2,013,775","36,127","763,357","560,425","121,923","81,009","656,281","107,076",14.03%,3.068
,1/1/2008,"2,102,741","2,068,197","34,544","784,040","576,978","126,427","80,635","674,116","109,924",14.02%,3.068
,1/1/2009,"2,140,626","2,106,877","33,749","792,726","585,952","127,259","79,515","680,506","112,220",14.16%,3.096
,1/1/2010,"2,179,692","2,145,696","33,996","799,563","592,547","128,132","78,884","685,621","113,942",14.25%,3.130
,4/1/2010,"2,189,641","2,153,812","35,829","800,707","593,993","127,986","78,728","686,260","114,447",14.29%,3.138
,,,,,,,,,,,,
Sacramento,4/1/2000,"85,071","84,214",857,"34,897","22,863","10,156","1,878","33,478","1,419",4.07%,2.516
Citrus Heights,1/1/2001,"85,956","85,108",848,"35,003","22,871","10,258","1,874","33,508","1,495",4.27%,2.540
,1/1/2002,"86,918","86,109",809,"35,244","22,911","10,464","1,869","33,643","1,601",4.54%,2.559
,1/1/2003,"86,458","85,689",769,"35,184","22,806","10,515","1,863","33,488","1,696",4.82%,2.559
,1/1/2004,"85,940","85,210",730,"35,130","22,708","10,565","1,857","33,340","1,790",5.10%,2.556
,1/1/2005,"85,153","84,462",691,"35,204","22,738","10,615","1,851","33,315","1,889",5.37%,2.535
,1/1/2006,"84,112","83,460",652,"35,214","22,699","10,669","1,846","33,228","1,986",5.64%,2.512
,1/1/2007,"83,552","82,939",613,"35,184","22,624","10,720","1,840","33,103","2,081",5.91%,2.505
,1/1/2008,"83,347","82,773",574,"35,170","22,560","10,775","1,835","32,993","2,177",6.19%,2.509
,1/1/2009,"83,317","82,782",535,"35,141","22,467","10,845","1,829","32,869","2,272",6.47%,2.519
